¿Qué tipo de células alveolares son las encargadas de la síntesis de factor surfactante?,Los neumocitos tipo II.
¿A partir de qué semana de edad gestacional empieza el neumocito tipo II a producir surfactante?,A la semana $24$-$28$.
"La madurez pulmonar total, en relación con el factor surfactante, se alcanza habitualmente a la semana _____.",$34$
¿Cuál es la función fisiológica principal del factor surfactante en los alvéolos?,Disminuir la tensión superficial para evitar el colapso alveolar.
"En recién nacidos menores de $28$ semanas de edad gestacional, ¿cuál es la incidencia de la Enfermedad de Membrana Hialina (SDR 1)?",Aproximadamente el $90\%$.
¿Cuál es el principal factor de riesgo para desarrollar el Síndrome de Dificultad Respiratoria tipo 1?,La prematurez.
Concepto: Dipalmitoilfosfatidilcolina,Definición: Es el componente fosfolipídico principal del factor surfactante.
"En la gasometría arterial de un paciente con EMH, ¿qué valor de $PaO_{2}$ define la hipoxemia según el material?",Menor a $50$ mmHg.
¿Qué valor de la relación lecitina-esfingomielina indica inmadurez pulmonar?,Un valor menor a $2:1$.
¿Cuál es la utilidad diagnóstica de la prueba de aspirado gástrico en la etapa neonatal inmediata?,Medir componentes del líquido pulmonar deglutido para evaluar madurez.
¿Cómo se describe la imagen radiológica característica de la EMH en su grado leve?,Imagen reticulogranular muy fina con transparencia pulmonar conservada.
¿Qué hallazgo radiológico define el grado moderado de la EMH?,Imagen reticulogranular en todo el campo pulmonar y broncograma que sobrepasa la silueta cardíaca.
"En la clasificación radiológica de EMH, la imagen en 'vidrio despulido' con ausencia de silueta cardíaca corresponde al grado _____.",Muy grave (Grado IV).
¿Cuál es el tratamiento óptimo inicial para la EMH en menores de $1500$ gramos?,CPAP más administración temprana de surfactante mediante técnica LISA.
¿Cuál es la dosis inicial recomendada de Poractant alfa para el tratamiento de la EMH?,$200$ mg/kg.
"En el manejo de EMH, si no hay mejoría clínica tras la primera dosis de surfactante, ¿qué dosis se recomiendan para la segunda y tercera aplicación?",$100$ mg/kg.
¿Cuál es la complicación vascular más frecuente asociada a la Enfermedad de Membrana Hialina?,Persistencia del conducto arterioso.
La Taquipnea Transitoria del Recién Nacido (TTRN) se debe fisiopatológicamente a un retraso en la _____.,Absorción del líquido pulmonar alveolar.
¿En qué periodo de tiempo se autolimita típicamente la Taquipnea Transitoria del RN?,Entre las $24$ y $72$ horas posteriores al nacimiento.
¿Cuál es el trastorno del equilibrio ácido-base que suele presentarse en la TTRN?,Alcalosis respiratoria.
¿Qué hallazgo radiológico caracteriza al 'patrón húmedo' en la TTRN?,"Cisuritis, atrapamiento aéreo y congestión parahiliar simétrica."
"Según la técnica de alimentación en patología respiratoria, ¿qué conducta se sigue si la FR es de $60$-$80$ rpm?",Alimentación por sonda orogástrica.
"En un neonato con dificultad respiratoria, ¿cuál es el criterio de frecuencia respiratoria para indicar ayuno?",Frecuencia respiratoria mayor a $80$ rpm.
¿Cuál es el rango de saturación de $O_{2}$ meta para un paciente con TTRN?,$88\%$-$95\%$.
¿Cuál es el mecanismo de producción del Síndrome de Aspiración de Meconio (SAM) en las vías aéreas?,Obstrucción de vías pequeñas creando un efecto de válvula e hiperinsuflación.
¿En qué grupo de edad gestacional es más prevalente el Síndrome de Aspiración de Meconio?,Recién nacidos a término o postérmino.
¿Qué característica clínica del tórax es distintiva en un neonato con SAM?,Tórax en tonel.
"Radiológicamente, el SAM se presenta con un patrón de infiltrados en parches conocido como _____.",Imagen en 'sal y pimienta'.
¿Cuál es la complicación más grave asociada al Síndrome de Aspiración de Meconio?,Hipertensión pulmonar.
¿Qué medida terapéutica NO se recomienda de forma rutinaria en un neonato con SAM que nace vigoroso?,Aspiración de meconio en tráquea.
La apnea del prematuro se define como el cese de la respiración por más de _____ segundos.,$20$
¿Qué signos clínicos acompañantes permiten diagnosticar apnea aunque el cese respiratorio dure menos de $20$ segundos?,Cianosis o bradicardia.
¿Cuál es el método diagnóstico de primera elección para la vigilancia de apnea en prematuros?,Vigilancia continua por impedancia torácica.
¿Cuál es el fármaco de elección para el tratamiento de la apnea del prematuro?,Cafeína.
¿Hasta qué edad corregida se suele mantener el tratamiento con cafeína en la apnea del prematuro?,$43$-$44$ semanas de edad.
¿Cómo se define cronológicamente la Displasia Broncopulmonar (DBP) en un menor de $32$ semanas?,Necesidad de oxígeno suplementario por más de $28$ días.
¿Qué patrón radiológico es característico de la Displasia Broncopulmonar?,Patrón en esponja.
Menciona dos fármacos diuréticos utilizados en el tratamiento de la Displasia Broncopulmonar.,Furosemida y Espironolactona.
¿Qué esteroide se utiliza en dosis de $0.2$ mg/kg/día para el manejo de la DBP?,Dexametasona.
"En pacientes con Displasia Broncopulmonar, ¿cuál es el rango de $PaCO_{2}$ meta?",$40$-$55$ mmHg.
¿Cuál es el signo clínico cardinal de la Hipertensión Pulmonar Persistente neonatal?,Cianosis a pesar de una saturación de oxígeno al $100\%$.
¿Cuál es el 'gold estándar' para el diagnóstico de Hipertensión Pulmonar?,Ecocardiograma.
¿Qué hallazgo en el ecocardiograma confirma hipertensión pulmonar según los criterios de presión?,Presión de la arteria pulmonar por arriba de $40$ mmHg.
¿Cuál es el tratamiento vasodilatador de elección para la Hipertensión Pulmonar Persistente?,Óxido nítrico inhalado.
El esquema de maduración pulmonar con Betametasona consiste en _____ dosis de $12$ mg cada $24$ horas.,$2$
¿Cuál es el esquema posológico de la Dexametasona para la maduración pulmonar prenatal?,$4$ dosis de $6$ mg cada $12$ horas.
"Para disminuir el riesgo de retinopatía del prematuro, ¿qué rango de $PaO_{2}$ se recomienda mantener?",$50$-$70$ mmHg.
¿Qué fármaco se utiliza para la parálisis neuromuscular en neonatos con asistencia mecánica a la ventilación?,Pancuronio.
"En la TTRN, la falta de absorción de líquido se asocia a la ausencia de estrés del trabajo de parto, que normalmente activa canales de _____.",Sodio.
¿Qué hallazgo radiológico del SAM indica atrapamiento aéreo?,Horizontalización de arcos costales y sobredistensión pulmonar.
¿Cuál es la mortalidad aproximada de la apnea en prematuros con peso menor a $2500$ gramos?,Hasta el $20\%$.
"En la DBP, el daño se produce por una interferencia con la _____ alveolar, resultando en alvéolos más grandes y menos funcionales.",Septación.
El factor surfactante está compuesto en un $80\%$ por _____.,Fosfolípidos.
¿Qué porcentaje de los casos de dificultad respiratoria no infecciosa representa la TTRN?,Entre el $35\%$ y el $50\%$.
