¿Cuál es el principal agente causal del resfriado común en el $80-90\%$ de los casos?,Rhinovirus
El resfriado común se autolimita típicamente en un periodo de _____ días.,5 a 14
¿Cuál es la maniobra más efectiva como factor protector contra el resfriado común?,Lavado de manos
"En el resfriado común, se debe sospechar de rinosinusitis si la clínica persiste después de _____ días.",10-14
¿Cuál es el fármaco de elección para el control de la fiebre en el resfriado común y su dosis pediátrica?,Paracetamol a $10\text{ mg/kg}$
¿Qué efecto tienen los antibióticos sobre la evolución natural del resfriado común?,No modifican la evolución natural.
Menciona los dos picos de incidencia estacional para el resfriado común.,Otoño y Primavera
¿Cuál es la segunda causa viral más frecuente del resfriado común?,Coronavirus
Definición clínica de faringoamigdalitis: infección de faringe y amígdalas con garganta roja de más de _____ días de duración.,Cinco
¿Qué porcentaje de los episodios de faringoamigdalitis son de origen viral?,$80-90\%$
¿Cuál es la bacteria responsable del $15\%$ de los casos de faringoamigdalitis?,Streptococcus betahemolítico del grupo A (S. pyogenes)
¿Qué hallazgo en la orofaringe sugiere una etiología viral en lugar de bacteriana?,Presencia de vesículas
¿Cuál es el estándar de oro para el diagnóstico de faringoamigdalitis recurrente?,Cultivo faríngeo en agar sangre
"Según los criterios de Centor, ¿cuál es la conducta a seguir con un puntaje de 0 a 2 puntos?",Tratamiento sintomático únicamente.
"Según los criterios de Centor, ¿qué acción se indica ante un puntaje de 3 puntos?",Realizar prueba rápida de antígeno o cultivo (dar antibiótico solo si es positiva).
"En los criterios de Centor, ¿cuántos puntos se asignan a la ausencia de tos?",1 punto
¿Cuál es el tratamiento antibiótico de elección para faringoamigdalitis en niños con peso menor a $27\text{ kg}$?,"Penicilina G benzatínica 600,000 UI en dosis única intramuscular."
¿Cuál es el tratamiento antibiótico de elección para faringoamigdalitis en pacientes con peso mayor a $27\text{ kg}$?,"Penicilina G benzatínica 1,200,000 UI en dosis única intramuscular."
¿Qué grupo de antibióticos se indica en pacientes con faringoamigdalitis y alergia a la penicilina?,Macrólidos (Eritromicina o Azitromicina)
¿Cuál es la complicación supurativa más frecuente de la faringoamigdalitis?,Absceso periamigdalino
¿Cuál es la complicación no supurativa más frecuente de la infección por S. pyogenes?,Fiebre reumática
¿Cuál es la complicación no supurativa más grave tras una faringoamigdalitis estreptocócica?,Glomerulonefritis postestreptocócica
"Triada clásica del absceso periamigdalino: odinofagia severa unilateral, voz en papa y _____.",Trismus (signo patognomónico)
¿Hacia qué lado se desplaza la úvula en la exploración física de un absceso periamigdalino?,Hacia el lado contralateral
¿Cuál es el estándar de oro para el diagnóstico del absceso periamigdalino?,TAC con contraste
¿Qué calibre de aguja se utiliza para el drenaje por aspiración de un absceso periamigdalino?,Aguja de 18 G
¿Cuál es el agente causal de la mononucleosis infecciosa?,Virus de Epstein-Barr (EBV o Herpes virus 4)
"Triada clásica de la mononucleosis: fiebre, linfadenopatía y _____.",Faringitis
¿Qué fenómeno cutáneo ocurre en el $80-100\%$ de los pacientes con mononucleosis tras recibir ampicilina o amoxicilina?,Desarrollan un exantema (rash).
"En el diagnóstico de mononucleosis, ¿qué hallazgo en el frotis de sangre es característico?",Presencia de linfocitos atípicos ($>10\%$).
¿Cuál es la prueba confirmatoria (serológica) para mononucleosis infecciosa?,Prueba de Paul-Bunnell
¿Por qué se deben evitar los deportes de contacto durante al menos 1 mes en la mononucleosis?,Por el riesgo de ruptura esplénica debido a la esplenomegalia.
Agente etiológico de la difteria:,Corynebacterium diphtheriae (Gram $+$)
¿Cuál es la complicación más grave y principal causa de muerte en la difteria?,Miocarditis
Hallazgo clínico característico de difteria en la orofaringe:,Membranas grisáceas sangrantes adheridas a las mucosas.
¿Cuál es el medio de cultivo específico para diagnosticar difteria?,Cultivo de Loeffler
"Diagnóstico diferencial: niño con inicio brusco, ataque al estado general y crepitantes localizados.",Neumonía bacteriana
Definición de estado epiléptico: crisis que dura más de _____ minutos o recurrencia sin recuperación de conciencia.,5 minutos
¿Cuál es el tipo de crisis convulsiva más común en niños menores de 5 años?,Crisis febriles
¿Qué fases componen cronológicamente una crisis tónico-clónica?,"Fase prodrómica, fase tónica, fase clónica y periodo postictal."
¿En qué rango de edad son más frecuentes las crisis febriles?,6 meses a 5 años
¿Cuál es la duración máxima de una crisis febril típica?,"Menos de 15 minutos (según criterios clínicos habituales, el material indica 5 min para la distinción de manejo)."
¿Cuál es el riesgo de desarrollar epilepsia en un niño con crisis febriles típicas?,Igual al de la población general.
¿Cuál es el estudio de elección para el abordaje etiológico de las convulsiones?,Electroencefalograma (EEG)
