     1→¿Cuál es la característica fisiopatológica distintiva de la acalasia?,Deficiente relajación del esfínter esofágico inferior y pérdida de la peristalsis esofágica.
     2→La acalasia se debe principalmente a la degeneración de qué estructura anatómica?,Plexo muscular de Auerbach.
     3→¿A qué enfermedades infecciosas o sistémicas se puede asociar la acalasia?,Enfermedad de Chagas y esclerodermia.
     4→¿Cuál es la principal complicación anatómica de la acalasia no tratada?,Megaesófago.
     5→¿Cómo progresa típicamente la disfagia en un paciente con acalasia?,"De forma progresiva, de sólidos a líquidos."
     6→¿Qué hallazgo radiológico es característico de la acalasia en un esofagograma baritado?,"Imagen en ""pico de pájaro"" o ""cola de ratón""."
     7→¿Cuál es el estándar de oro para el diagnóstico de la acalasia?,Manometría esofágica.
     8→¿Qué estudio diagnóstico es obligatorio en todos los pacientes con acalasia que serán sometidos a cirugía?,Manometría esofágica.
     9→¿Cuál es el tratamiento quirúrgico inicial de elección para la acalasia?,Miotomía de Heller más funduplicatura parcial (tipo Toupet o Dor).
    10→¿Qué escala se utiliza para evaluar la efectividad clínica del tratamiento en la acalasia?,Escala de Eckardt.
    11→¿Cuál es la conducta a seguir si falla la miotomía de Heller inicial en un paciente con acalasia?,Realizar una miotomía contralateral.
    12→"En pacientes con acalasia y alto riesgo quirúrgico, ¿qué tratamiento farmacológico local se recomienda?",Inyección de toxina botulínica (100 UI).
    13→¿Cuál es la principal contraindicación para el uso de toxina botulínica en acalasia?,Alergia al huevo.
    14→¿Qué fármacos se consideran de última elección (paliativos) para el tratamiento de la acalasia?,Nifedipino o isosorbide sublingual.
    15→¿Por qué se recomienda realizar un esofagograma anual en pacientes con acalasia?,Debido al riesgo elevado de desarrollar carcinoma epidermoide.
    16→¿Qué define al espasmo esofágico difuso en términos de motilidad?,"Múltiples contracciones masivas, incoordinadas y no propulsivas."
    17→¿Cuál es el hallazgo clásico en la serie esófago-gastroduodenal de un paciente con espasmo esofágico difuso?,"Imagen en ""sacacorchos""."
    18→¿Cuál es el tratamiento farmacológico de primera elección para el espasmo esofágico difuso?,Bloqueadores de canales de calcio (nifedipino) o nitratos sublinguales (isosorbide).
    19→El espasmo esofágico difuso se considera un precursor de qué otra patología motora (específicamente el tipo III)?,Acalasia.
    20→¿Cómo se define la enfermedad por reflujo gastroesofágico (ERGE)?,Ascenso del contenido gástrico por arriba de la unión gastroesofágica que causa síntomas o lesiones.
    21→¿Cuál es el rango de presión normal del esfínter esofágico inferior?,10 a 26 mmHg.
    22→¿Qué alteración genética se asocia a la predisposición de padecer ERGE y hernia hiatal?,Mutación en el gen del colágeno tipo 3.
    23→"Según la clasificación de Montreal, ¿cuál es el síntoma esofágico más frecuente del ERGE?",Pirosis.
    24→¿Cuáles son los síntomas extraesofágicos típicos asociados al ERGE?,"Tos crónica, asma, laringitis crónica y erosiones dentarias."
    25→¿En qué consiste la prueba terapéutica inicial para el diagnóstico de ERGE?,Administración de IBP durante 2 semanas para evaluar la mejoría clínica.
    26→¿Cuál es el estándar de oro para el diagnóstico definitivo de ERGE?,pH-metría con impedancia de 24 horas.
    27→¿En qué situaciones está indicada una endoscopia diagnóstica en un paciente con sospecha de ERGE?,"Falla a la prueba terapéutica, presencia de datos de alarma o pacientes mayores de 55 años."
    28→¿Cuál es el tratamiento quirúrgico de elección (estándar de oro) para el ERGE?,Funduplicatura de Nissen.
    29→Concepto: Gas Bloating,Definición: Complicación postquirúrgica de la funduplicatura caracterizada por la incapacidad de eructar y distensión abdominal.
    30→¿Qué fármaco se recomienda específicamente para el tratamiento del reflujo alcalino?,Hidróxido de aluminio.
    31→¿Cuál es la complicación más frecuente de la esofagitis?,Úlcera esofágica.
    32→¿Qué sistemas de clasificación se utilizan para estadificar la esofagitis por endoscopia?,Clasificación de Los Ángeles y Savary-Miller.
    33→"En la clasificación de Los Ángeles, ¿qué define a la esofagitis Grado C?",Lesiones que afectan menos del 75% de la circunferencia esofágica pero pasan entre los pliegues.
    34→¿Qué cambio histológico define al esófago de Barrett?,Metaplasia de la mucosa esofágica a epitelio columnar de tipo intestinal.
    35→¿Cuál es el principal riesgo de malignidad asociado al esófago de Barrett?,Adenocarcinoma de esófago.
    36→¿Qué sistema de clasificación endoscópica se utiliza para describir la extensión del esófago de Barrett?,Clasificación de Praga.
    37→¿Cuál es el tratamiento endoscópico de elección para el esófago de Barrett con displasia?,Resección mucosa y ablación con radiofrecuencia.
    38→¿Dónde se localiza anatómicamente el divertículo de Zenker?,"En la parte posterior, entre los músculos cricofaríngeo y constrictor inferior (triángulo de Killian)."
    39→¿Cuál es el cuadro clínico clásico de un paciente con divertículo de Zenker?,"Disfagia, halitosis y regurgitación de alimentos no digeridos de días anteriores."
    40→¿Cuál es el estudio de elección para confirmar la presencia de un divertículo de Zenker?,Esofagogramas baritados.
    41→¿Qué tratamiento quirúrgico se indica si el divertículo de Zenker mide más de 3 cm?,Miotomía más diverticulotomía con grapa.
    42→¿Qué tratamiento quirúrgico se indica si el divertículo de Zenker mide menos de 3 cm?,Miotomía cricofaríngea aislada.
    43→¿Cuántos eosinófilos por campo se requieren para diagnosticar esofagitis eosinofílica?,Más de 15 eosinófilos por campo.
    44→¿Cuál es la causa más frecuente de impacto alimentario en pacientes jóvenes (20-30 años)?,Esofagitis eosinofílica.
    45→¿Qué hallazgo endoscópico es característico de la esofagitis eosinofílica?,"Esófago en anillo, ondulado o ""felino""."
    46→¿Cuál es el pilar del tratamiento farmacológico tópico para la esofagitis eosinofílica?,Glucocorticoides tópicos (budesonida o fluticasona).
    47→¿Cómo se define la hernia hiatal tipo I o deslizante?,Desplazamiento de la unión gastroesofágica por encima del hiato diafragmático.
    48→¿Cuál es la característica de la hernia hiatal tipo II o paraesofágica?,El fondo gástrico se hernia a través del hiato mientras la unión gastroesofágica permanece en su sitio.
    49→¿Qué estudio se utiliza inicialmente para evaluar una hernia hiatal?,Serie esófago-gastroduodenal.
    50→¿Cuál es el tratamiento definitivo para una hernia hiatal sintomática?,Cirugía laparoscópica con técnica de Nissen.
    51→¿Bajo qué condición se debe colocar una malla durante la reparación de una hernia hiatal?,En defectos del hiato mayores a 5 mm.
    52→¿Qué trastorno psicológico se asocia frecuentemente al espasmo esofágico difuso?,"Ansiedad, estrés o depresión."
    53→¿Cuál es la complicación más frecuente tras la inyección de toxina botulínica en el EEI?,Dolor torácico.
    54→¿Qué porcentaje de efectividad tiene la toxina botulínica para la acalasia al cabo de un año?,30%.
    55→"En el contexto de ERGE, ¿cuándo se considera que una esofagitis es grave según Los Ángeles?",Grados C y D.
    56→¿Qué fármaco ayuda a reducir la frecuencia de relajaciones transitorias del esfínter esofágico inferior?,Baclofeno.
    57→¿Cuál es la conducta recomendada para megaesófago en fase terminal?,Esofagectomía.
    58→"En la escala de Eckardt, ¿a partir de cuántos puntos se considera falla al tratamiento?",Más de 3 puntos.
    59→¿Cuál es el principal factor de riesgo genético para ERGE?,Alteración del gen del colágeno tipo 3.
    60→¿Qué estudio se solicita ante la recurrencia de síntomas después de una cirugía antirreflujo?,Serie esófago-gastroduodenal.
    61→¿Cuál es la incidencia de progresión de esófago de Barrett a adenocarcinoma?,0.5% anual.
    62→"¿Qué tipo de hernia hiatal se conoce como ""invertida"" e implica la herniación de otros órganos?",Hernia hiatal tipo IV.
    63→¿A qué edad es más común la presentación del divertículo de Zenker?,Adultos mayores.
    64→¿Cuál es el tratamiento quirúrgico definitivo para el espasmo esofágico difuso?,Miotomía de la capa muscular del esófago o dilatación con balón.
    65→¿Qué fármaco de la familia de los IBP se asocia con una mejor tasa de cicatrización en esofagitis?,Esomeprazol.
