¿Cómo se define operacionalmente la diarrea aguda?,Aumento súbito en la emisión de heces (más de tres en $24$ horas) y disminución de su consistencia.
¿Cuál es la duración máxima habitual de un cuadro de diarrea aguda para no considerarse persistente?,$14$ días.
"En lactantes, ¿cuáles son los dos parámetros principales para guiar el diagnóstico de diarrea?",La disminución de la consistencia de las evacuaciones y la presencia de vómito.
¿Qué proceso fisiopatológico explica la disminución de la consistencia de las heces en la diarrea?,Inhibición en la absorción por los enterocitos.
¿A qué se debe el aumento en la cantidad de evacuaciones durante una reacción inflamatoria intestinal?,Hipercreción digestiva y exudación.
"Según la OMS, ¿cuáles son los tres tipos clínicos de enfermedades diarreicas?","Diarrea acuosa, diarrea disentérica y diarrea persistente."
¿Cuál es la duración promedio de la diarrea acuosa?,De uno a tres días.
¿Qué microorganismos son los principales implicados en la diarrea acuosa?,"Vibrio cholerae, Escherichia coli enterotoxigénica, Rotavirus y Norovirus."
¿Cuál es el signo clínico cardinal de la diarrea disentérica?,Presencia de sangre en las heces.
¿Cuál es la fisiopatología de la diarrea disentérica a nivel del colon?,Inflamación e invasión de los enterocitos.
¿Qué microorganismos se asocian principalmente a la diarrea disentérica?,"Shigella spp, Escherichia coli enteroinvasiva ($ECEI$) y Entamoeba histolytica."
¿Qué rango de tiempo define a la diarrea persistente?,Más de dos semanas pero menos de cuatro.
¿Cuál es la causa infecciosa más frecuente de la diarrea persistente?,Parasitosis.
¿Cuál es la segunda causa de muerte en menores de $5$ años a nivel mundial?,Infecciones intestinales (enfermedades diarreicas).
¿En qué estación del año predominan los agentes bacterianos causantes de diarrea en México?,Finales de primavera y verano.
El _____ es responsable del $80\%$ de los casos de diarrea viral en niños de $3$ a $5$ años.,Rotavirus
¿Cuál es la medida preventiva de mayor impacto para reducir la morbimortalidad por diarrea?,Lactancia materna.
¿Cuántas veces disminuye el riesgo de diarrea aguda la estrategia de lavado de manos?,$2.3$ veces.
"¿Cuál se considera la ""primera vacuna natural"" del niño para evitar muertes por diarrea?",Lactancia materna.
¿Qué intervención de prevención específica protege contra la diarrea grave y hospitalización en infantes?,Vacuna contra el Rotavirus.
¿Cuál es el método recomendado por la GPC para evaluar y clasificar la deshidratación?,Método Dhaka.
¿Cuál es el estándar de oro ($gold$ $standard$) para evaluar el grado de deshidratación?,Pérdida de peso del paciente.
¿Qué porcentaje de pérdida de peso define una deshidratación grave?,Mayor al $9\%$.
¿Qué puntaje en la Escala de Evaluación Clínica ($ECD$) indica deshidratación moderada a grave?,De $5$ a $8$ puntos.
¿Qué característica del pulso radial se observa en un paciente adulto con deshidratación grave (Plan C)?,Ausente o incontable.
"En el Método Dhaka, ¿qué característica del llenado capilar indica choque hipovolémico?",Mayor a $2$ segundos.
¿Cuándo se deben solicitar estudios de laboratorio auxiliares en diarrea aguda?,"Sospecha de alteraciones hidroelectrolíticas, desnutrición grave o fracaso en la terapia de rehidratación."
¿Cuál es la osmolaridad total del Vida Suero Oral ($VSO$) recomendado por la OMS ($2002$)?,$245$ mOsm/L (hipoosmolar).
Concepto: Racecadotrilo,Inhibidor de la encefalinasa que reduce la secreción intestinal de agua y electrolitos.
¿Cuál es la dosis recomendada de Racecadotrilo en pediatría?,"$1.5$ mg/kg, tres veces al día."
¿Qué suplemento ha demostrado reducir la duración de la diarrea?,Zinc (suplementación de $5$-$10$ mg/día).
¿Qué medicamento antiemético puede administrarse en dosis única para mejorar la tolerancia a la rehidratación oral?,Ondansetrón.
Mencione dos criterios clínicos para el uso de antibióticos en diarrea aguda.,Disentería y fiebre mayor a $39^{\circ}C$ con datos de sepsis.
