¿Cuál es la forma de presentación más frecuente del cáncer de esófago?,Metastásica ($40\%$).
¿Cuál es el sitio de metástasis más común en el cáncer de esófago?,Pulmón.
¿Qué estirpe histológica de cáncer de esófago predomina en Occidente?,Adenocarcinoma.
¿Cuál es la sobrevida promedio del cáncer de esófago sin tratamiento?,3-4 meses.
¿Qué factor de riesgo se asocia específicamente al carcinoma epidermoide de esófago?,Alcoholismo.
"En el esófago de Barrett con displasia de alto grado, ¿cuál es el riesgo anual de progresión a cáncer?",$7\%$.
¿En qué tercio del esófago se localiza habitualmente el adenocarcinoma?,Tercio distal.
¿En qué tercio del esófago se localiza habitualmente el carcinoma epidermoide?,Tercio medio.
¿Cuál es el síndrome paraneoplásico caracterizado por hipercalcemia en el cáncer de esófago?,Elevación de PTH.
¿Cuál es el Gold Standard diagnóstico para el cáncer de esófago?,Esofagoscopia con toma de biopsia.
¿Qué estudio de imagen se utiliza para valorar la extensión del tumor esofágico?,Tomografía Computarizada (TAC).
¿Qué estudio es de elección para valorar la invasión de la pared y la enfermedad ganglionar en cáncer esofágico?,Ultrasonido (USG) endoscópico.
¿Cuál es el tratamiento de elección para el cáncer de esófago en estadios I y IIA?,Cirugía.
¿Qué abordaje quirúrgico se prefiere para tumores de esófago torácico mayores a 3 cm?,Abordaje de McKeown.
¿Qué abordaje quirúrgico se prefiere para tumores de esófago torácico menores a 3 cm?,Abordaje transhiatal.
¿Qué agente quimioterapéutico se utiliza específicamente para el adenocarcinoma de esófago?,5-Fluorouracilo.
¿Cuál es el segundo tumor gastrointestinal más frecuente en México?,Cáncer gástrico.
¿En qué porcentaje se encuentran las mutaciones de E-cadherina en el cáncer gástrico?,$75-85\%$.
¿Qué grupo sanguíneo se asocia con un mayor riesgo de cáncer gástrico?,Grupo A.
¿Qué variante histológica de cáncer gástrico tiene el peor pronóstico?,Difuso (Células en anillo de sello).
¿Cuál es el tumor benigno más frecuente del estómago?,Leiomioma.
Concepto: Ganglio de Virchow,Definición: Linfadenopatía supraclavicular izquierda que sugiere metástasis de cáncer gástrico.
¿Qué nombre recibe la metástasis ovárica del cáncer gástrico?,Tumor de Krukenberg.
¿Cuál es la localización del ganglio de la Hermana María José?,Cicatriz umbilical.
¿Cuál es el estudio de elección para el diagnóstico de cáncer gástrico?,Endoscopia flexible con toma de al menos 3 biopsias.
¿Cuál es el tratamiento de elección para el cáncer gástrico Etapa 0 o IA?,Mucosectomía endoscópica.
¿Qué escala se utiliza para decidir una gastrectomía profiláctica en familias de alto riesgo?,Criterios de Ámsterdam.
¿Cuál es el tratamiento quirúrgico para el cáncer gástrico distal resecable?,Gastrectomía subtotal.
¿Qué esquema de quimioterapia se indica para el cáncer gástrico irresecable?,Fluorouracilo + Leucovorina.
¿Cuál es la localización más frecuente del cáncer de páncreas?,Cabeza del páncreas.
¿Cuál es la estirpe histológica más común del cáncer de páncreas?,Adenocarcinoma ductal ($80-90\%$).
