¿Cómo se define la amenorrea primaria en mujeres sin caracteres sexuales secundarios?,Ausencia de menarca en mayores de 13 años.
¿Cuál es la edad límite para definir amenorrea primaria en presencia de caracteres sexuales secundarios?,Mayores de 15 años.
¿Qué criterio de tiempo define la amenorrea secundaria en mujeres con ciclos regulares?,Ausencia de menstruación por 90 días.
"En mujeres con ciclos irregulares, ¿cuántos meses de ausencia menstrual definen la amenorrea secundaria?",6 meses.
¿Cuáles son los cuatro estados que comprenden la amenorrea fisiológica?,"Embarazo, puerperio, climaterio y antes de la pubertad."
"El gen _____, ubicado en el cromosoma Y, actúa como interruptor para iniciar la formación de testículos.",SRY
"¿De qué factor depende el fenotipo sexual, independientemente del cariotipo?",De la presencia o ausencia de andrógenos.
"¿Qué sucede con el desarrollo fenotípico en un individuo 46,XY con insensibilidad a los andrógenos?",Desarrolla un fenotipo femenino.
¿Cuál es el tumor hipotálamo-hipofisario más frecuentemente asociado a amenorreas centrales?,Craneofaringioma.
¿Qué hormonas se incrementan en la amenorrea deportiva alterando la descarga de GnRH?,Andrógenos y prolactina.
¿Cómo afecta la liberación de corticotropina por estrés a la producción de FSH y LH?,Inhibe la secreción de gonadotropinas al activar el eje hipotálamo-hipófisis-adrenal.
¿Qué hormona producida por la grasa corporal estimula la producción de GnRH?,Leptina.
¿Por qué disminuye la GnRH en pacientes con anorexia nerviosa?,Debido a la disminución de la producción de leptina por falta de grasa corporal.
El Síndrome de Kallmann se caracteriza por amenorrea e infantilismo sexual asociados a _____.,Anosmia (o atrofia del bulbo olfatorio).
¿Qué gen está mutado en el Síndrome de Kallmann ligado al cromosoma X?,Gen KAL1.
"Tríada clínica del Síndrome de Prader-Willi: hipotonía, obesidad e _____.",Hipogonadismo
¿A qué alteración cromosómica se asocia el Síndrome de Prader-Willi?,Cromosoma 15.
¿Cuál es el tratamiento farmacológico mencionado para el Síndrome de Prader-Willi?,Clomifeno.
"El Síndrome de Progeria, caracterizado por vejez prematura y alopecia, se asocia al cromosoma _____.",1
¿Cuál es el perfil de LH/FSH y estrógenos en el hipogonadismo hipergonadotrópico?,LH/FSH elevadas y estrógenos reducidos.
¿Dónde se localiza el defecto primario en el hipogonadismo hipogonadotrópico?,Hipotálamo o hipófisis.
¿Cuál es el cariotipo típico del Síndrome de Turner?,"45,X."
¿Cuál es la causa más frecuente de amenorrea primaria?,Síndrome de Turner (disgenesia gonadal).
"En el Síndrome de Turner, los ovarios son reemplazados por estructuras denominadas _____.",Cintillas ováricas.
¿Qué hallazgo ecográfico en el primer trimestre sugiere un diagnóstico prenatal de Síndrome de Turner?,Higroma quístico.
¿Cuál es el estándar de oro para el diagnóstico del Síndrome de Turner en la vida adulta?,Cariotipo.
¿Cuál es el dato clínico más frecuente del Síndrome de Turner durante la infancia?,Linfedema.
¿Qué alteración ungueal es característica del Síndrome de Turner en la adolescencia?,Displasia ungueal.
¿Cuál es la malformación cardíaca más frecuente en pacientes con Síndrome de Turner?,Elongación del arco transverso.
¿Qué patología aórtica es el Síndrome de Turner la causa principal?,Coartación de la aorta.
¿En qué consiste el tratamiento hormonal para el crecimiento en el Síndrome de Turner?,Somatropina (hormona del crecimiento).
¿Cuál es el cariotipo característico del Síndrome de Swyer?,"46,XY (o mosaicismo 45,X/46,XY)."
¿Cuál es la diferencia anatómica clave entre el Síndrome de Swyer y el Síndrome de Morris respecto al útero?,"En Swyer el útero está presente, en Morris está ausente."
¿Qué neoplasia tiene un alto riesgo de desarrollarse en cintillas gonadales con presencia de cromosoma Y (ej. Swyer)?,Gonadoblastoma.
El Síndrome de Morris también es conocido médicamente como _____.,Feminización testicular (o insensibilidad a los andrógenos).
¿Cómo se encuentran los niveles de testosterona en una paciente con Síndrome de Morris?,Normales o elevados para un varón.
¿Por qué no se desarrollan útero ni trompas en el Síndrome de Morris si el fenotipo es femenino?,Por la actividad normal de la Hormona Antimülleriana (AMH).
¿Dónde se localizan habitualmente los testículos en el Síndrome de Morris?,Intraabdominales o en el conducto inguinal.
¿Cuál es la característica clínica distintiva del vello en el Síndrome de Morris?,Ausencia de vello axilar y púbico.
¿Qué tumor maligno se asocia con mayor frecuencia al Síndrome de Morris?,Disgerminoma.
¿Qué enzima es deficiente en la forma más común de Hiperplasia Suprarrenal Congénita?,21-hidroxilasa.
¿Cuál es el cariotipo de una paciente con Síndrome de Rokitansky?,"46,XX."
¿Qué estructuras anatómicas están ausentes en el Síndrome de Rokitansky?,Útero y los 2/3 superiores de la vagina.
¿Cómo son los niveles hormonales en pacientes con Síndrome de Rokitansky?,Normales.
¿Cuál es el síntoma principal que acompaña a la amenorrea en el himen imperforado?,Dolor abdominal cíclico por acumulación menstrual.
¿Qué define al Síndrome de Asherman?,Amenorrea secundaria por sinequias (adherencias) uterinas.
¿Cuál es el principal factor de riesgo para desarrollar Síndrome de Asherman?,Antecedentes de instrumentación ginecológica como legrados (curetaje).
"¿Cuál es el dato clínico más importante, además de la amenorrea, en el Síndrome de Asherman?",Infertilidad.
¿Cuál es el estándar de oro para el diagnóstico y tratamiento del Síndrome de Asherman?,Histeroscopía.
¿Qué evento desencadena el Síndrome de Sheehan?,Hemorragia posparto masiva que causa infarto hipofisario.
¿Cuál es la principal causa de panhipopituiturismo post-parto?,Síndrome de Sheehan.
¿Cuál es el signo clínico más temprano y característico del Síndrome de Sheehan?,Incapacidad para lactar (agalactia).
¿Qué hallazgo en el vello corporal sugiere Síndrome de Sheehan?,Pérdida del vello púbico y axilar.
El Síndrome de Netter se define como adherencias intrauterinas extensas causadas por _____.,Endometritis tuberculosa.
¿Qué elementos componen la tríada de la mujer deportista?,"Trastornos de la alimentación, de la menstruación y del sistema óseo."
¿Cuál es el tratamiento definitivo para el Síndrome de Morris y Swyer para prevenir neoplasias?,Gonadectomía.
"En el Síndrome de Rokitansky, la vagina termina en _____.",Fondo de saco ciego.
"La presencia de útero y niveles elevados de FSH/LH con cariotipo 46,XY sugiere el diagnóstico de _____.",Síndrome de Swyer
¿Qué hormonas deben solicitarse inicialmente ante una amenorrea primaria con útero presente?,"FSH, LH, TSH y estradiol."
"A diferencia del Síndrome de Turner, las pacientes con Síndrome de Swyer suelen tener una talla _____.",Normal.
