"¿Cuál es el agente etiológico del loxoscelismo, comúnmente conocida como araña violinista o parda?",Loxosceles reclusa.
¿Qué característica morfológica en el dorso permite identificar a la araña Loxosceles?,Una mancha en forma de violín invertido.
¿Cuál es la toxina principal del veneno de Loxosceles reclusa responsable de la lisis de eritrocitos?,Esfingomielinasa-D.
"En el loxoscelismo cutáneo, ¿cómo se describe el dolor característico inicial?","Dolor tipo ardoroso con sensación de ""quemadura de cigarro""."
¿Cómo se denomina a la lesión cutánea clásica del loxoscelismo que presenta un patrón de piel pálida rodeando una vesícula hemorrágica?,Placa livedoide.
El loxoscelismo sistémico o cutáneo-visceral suele ocurrir en un período de _____ a _____ horas después de la mordedura.,24 a 48
¿Cuál es la tríada clínica característica del loxoscelismo cutáneo-visceral?,"Anemia hemolítica, hemoglobinuria y oliguria."
¿Cuáles son las dos principales causas de muerte en pacientes con loxoscelismo sistémico?,Falla renal y Coagulación Intravascular Diseminada (CID).
"¿Qué fármaco se utiliza específicamente en el tratamiento del loxoscelismo cutáneo, junto con el hielo local?",Dapsona.
¿Cuál es el tratamiento de elección para el loxoscelismo en pacientes embarazadas?,Prednisona.
¿Para qué se solicita una radiografía AP y lateral de la extremidad afectada en una mordedura de araña?,Para descartar la presencia de aire en tejidos blandos.
"¿Cuál es el nombre científico de la araña conocida como ""viuda negra"" o ""capulina""?",Latrodectus mactans.
¿Qué marca distintiva presenta la hembra de Latrodectus mactans en su abdomen?,Una cutícula roja en forma de reloj de arena.
¿Cuál es el mecanismo de acción de las alfa-latrotoxinas en el latrodectismo?,Causan la liberación masiva de neurotransmisores presinápticos.
¿En qué rango de tiempo suele presentarse la toxicidad sistémica tras una mordedura de viuda negra?,De 30 minutos a 2 horas.
Menciona una de las principales manifestaciones neuromusculares del latrodectismo.,Fasciculaciones.
¿Cuál es el tratamiento específico inicial para el latrodectismo?,Un vial de 2.5 ml de anti-arácnido diluido en solución salina.
¿Bajo qué condición se debe repetir la dosis de faboterápico en el latrodectismo?,Si los síntomas persisten por más de 24 horas.
"¿Cuál es la toxina del veneno de alacrán que afecta principalmente los canales de $K^+$, $Na^+$ y $Ca^{2+}$?",Escorpaminas.
¿Qué función tiene la hialuronidasa en el veneno de alacrán?,Aumenta la permeabilidad capilar para facilitar la absorción del veneno.
¿Cuáles son los tres grupos de población con mayor riesgo ante una picadura de alacrán?,"Menores de 5 años, mayores de 60 años y pacientes con comorbilidades."
¿Qué género de alacrán es el más frecuente y de importancia médica en México?,Centruroides.
¿Qué especie de alacrán es considerada la más tóxica en México y en qué estado se localiza?,Centruroides noxius en Nayarit.
"Como medida de prevención en zonas endémicas, la cama debe estar separada de la pared al menos _____ cm.",10
¿Qué síntoma define el grado leve (grado 1) de la picadura de alacrán?,Dolor y parestesias locales.
"Paciente con picadura de alacrán que presenta prurito nasal, faríngeo y sialorrea. ¿Qué grado de severidad presenta?",Grado 2 (Moderado).
Menciona dos datos de alarma que indican una picadura de alacrán grado 3 (severo).,Nistagmo y fasciculaciones linguales.
¿Cuántas ámpulas de faboterápico se administran inicialmente a un adulto sano con alacranismo leve?,1 ámpula IV.
¿Cuál es la dosis inicial de faboterápico para un niño de 3 años con alacranismo moderado?,4 ámpulas IV.
¿Cuántas ámpulas IV requiere un paciente mayor de 60 años con alacranismo severo?,6 ámpulas IV.
"Tras aplicar el faboterápico por picadura de alacrán, ¿cuánto tiempo debe observarse al paciente antes de decidir aplicar otra dosis?",20 minutos.
¿Cuál es el sitio anatómico donde ocurre el 72% de las mordeduras de serpiente?,Pies y tobillos.
"En América, la familia de serpientes _____ representa más del 90% de los accidentes ofídicos.",Viperidae.
Concepto: Mordedura fría,"Definición: Mordedura de serpiente en la que no se inocula veneno (ocurre en el 20% de los casos)."
"¿Qué tipo de toxinas en el veneno de serpiente interfieren con los factores de coagulación V, VIII, X y XIII?",Hemotoxinas.
"En el accidente ofídico, ¿por qué está contraindicado el uso de torniquetes?",Porque complican la circulación linfática y favorecen la necrosis y fibrinólisis.
¿Cuál es la conducta a seguir si un paciente llega con un torniquete tras una mordedura de serpiente?,Aplicar el antídoto antes de retirar el torniquete.
¿Qué presión deben tener las bandas de presión utilizadas en el miembro afectado por mordedura de serpiente?,De $50$ a $70$ mmHg.
¿Cada cuánto tiempo se debe evaluar la circunferencia del miembro afectado en un accidente ofídico?,Cada 15 a 20 minutos.
¿Por qué se recomiendan opioides en lugar de AINES para el dolor en mordeduras por Viperidae?,Para evitar el riesgo de exacerbar coagulopatías.
¿Qué escala se utiliza para clasificar la gravedad del envenenamiento por la familia Viperidae?,Clasificación de Christopher-Rodning.
"Según Christopher-Rodning, ¿qué grado se caracteriza por edema de 10 cm circunscrito al área de la lesión?",Grado I (Leve).
Paciente con mordedura de cascabel que presenta náuseas y edema de 18 cm. ¿Cuántos viales de faboterápico deben aplicarse?,5 viales IV.
"En el grado III de Christopher-Rodning, ¿cuál es la extensión del edema en el miembro afectado?",Edema en todo el miembro.
¿Cuántos viales de faboterápico se administran en un envenenamiento Grado IV por Viperidae?,25 viales IV.
¿Cuál es el volumen de dilución estándar de solución salina para los viales de faboterápico en mordedura por Viperidae?,100 a 250 ml.
¿Cuáles son los síntomas característicos de un envenenamiento moderado por serpiente coral (Elapidae)?,"Astenia, adinamia, ptosis palpebral y visión borrosa."
¿Cuál es el tratamiento para una mordedura grave por serpiente coral que presenta parálisis flácida?,8 frascos de faboterápico.
¿Qué complicación renal es común tanto en el loxoscelismo como en el accidente ofídico grave?,Insuficiencia Renal Aguda.
¿Bajo qué condición se considera una mordedura de Viperidae como Grado 0?,Presencia de huellas puntiformes sin signos de envenenamiento.
La aplicación de hielo local en mordeduras de serpiente debe ser de forma intermitente cada _____ minutos.,20
"Para la picadura de alacrán, ¿qué medida de prevención se recomienda para las patas de las camas?",Sumergirlas en recipientes con agua.
¿Cuál es la vida media aproximada del veneno de alacrán en el cuerpo humano?,36 horas.
Menciona una de las causas de muerte específica en el latrodectismo debida a la hiperestimulación autonómica.,"Crisis convulsivas o fallo respiratorio (por debilidad muscular)."
"En mordeduras por coralillo, ¿cuántos frascos de faboterápico se indican en el grado leve?",2 a 3 frascos.
¿Cuál es el primer paso del manejo inicial en cualquier accidente ofídico?,Reposo e inmovilización de la parte lesionada y traslado inmediato.
Menciona dos estudios de laboratorio esenciales para vigilar complicaciones en mordedura de serpiente.,"Tiempos de coagulación (TP, TTP) y Creatinina."
¿Qué efecto tiene el veneno de alacrán sobre el sistema nervioso autónomo?,Produce estimulación simpática y parasimpática.
"En el contexto de mordedura de serpiente en niños, ¿cuáles son las tres complicaciones más temidas?","Necrosis tisular, CID y síndrome compartimental."
¿Qué hallazgo en el examen general de orina sugiere loxoscelismo sistémico?,Hemoglobinuria.
