¿Cómo se define la patología mamaria benigna?,Conjunto de alteraciones del tejido mamario sin capacidad de diseminarse.
¿Qué factores influyen en la respuesta del tejido mamario a los mecanismos hormonales?,Los hábitos nutricionales y el estilo de vida.
El término médico correcto para referirse al dolor de mama es _____.,Mastalgia
¿Qué clasificación se utiliza para describir la mastalgia?,Clasificación de Cardiff.
¿Con qué proceso fisiológico se relaciona la mastalgia cíclica?,Con el ciclo menstrual.
¿Cuál es la causa benigna más frecuente de mastalgia cíclica?,Mastopatía fibroquística.
¿Cuál es el origen habitual del dolor torácico en la zona mamaria?,Muscular o costocondral.
Identifique dos factores de riesgo para el desarrollo de patología mamaria benigna.,Estados de hiperestrogenismo y tabaquismo.
¿Qué hábitos dietéticos se asocian a un mayor riesgo de patología mamaria?,Poca fibra y altas cantidades de grasa.
¿A partir de qué edad presentarán una patología benigna mamaria aproximadamente el 50% de las mujeres?,Después de los 20 años.
¿Cuál es el tumor benigno más frecuente de la glándula mamaria?,Fibroadenoma mamario.
¿Cuál es el tumor benigno más frecuente en la mujer a nivel general?,Miomatosis uterina.
¿En qué zona anatómica de la mama suele originarse el cáncer (ductal o lobulillar)?,En la unidad ducto-lobulillar o zona de transición.
¿A qué edad recomienda la GPC iniciar la exploración mamaria clínica?,A partir de los 19 años.
¿A qué edad establece la NOM-041-SSA2-2011 el inicio de la exploración clínica mamaria?,A partir de los 25 años.
¿A qué edad deben iniciar la exploración clínica las mujeres portadoras de mutaciones BRCA?,A partir de los 18-21 años.
¿A partir de qué edad se recomienda iniciar la autoexploración mamaria?,A partir de los 20 años.
¿En qué días del ciclo menstrual se sugiere realizar la autoexploración mamaria?,Del día 5 al 7 del ciclo.
¿Qué riesgo de cáncer de mama presentan las lesiones proliferativas sin atipia?,1.9
¿Qué riesgo de cáncer de mama presentan las lesiones proliferativas con atipia?,5.3
La hiperplasia ductal atípica pertenece al grupo de lesiones proliferativas _____.,Con atipia
¿Cuál es el agente causal del 90% de las mastitis puerperales?,Staphylococcus aureus.
¿Qué tipo de infección caracteriza a la mastitis no puerperal?,Infección multibacteriana.
¿Qué microorganismo es el agente causal del absceso de la glándula de Montgomery?,Pseudomonas aeruginosa.
