¿Cuál es el órgano lesionado con mayor frecuencia en el trauma abdominal cerrado?,El bazo (40-55\%).
¿Cuál es el órgano más frecuentemente afectado en el trauma por arma blanca?,El hígado (40\%).
¿Qué órgano se lesiona con mayor frecuencia en heridas por arma de fuego?,El intestino delgado (50\%).
"En el trauma abdominal cerrado, ¿cuál es el segundo órgano más afectado después del bazo?",El hígado (35-45\%).
¿Qué porcentaje de incidencia tiene el hematoma retroperitoneal en pacientes sometidos a laparotomía por trauma?,15\%.
Las lesiones penetrantes en la región glútea se asocian a un _____ de probabilidad de lesiones intraabdominales significativas.,50\%.
¿Qué porcentaje de las heridas por arma de fuego abdominales causan una lesión intraperitoneal?,98\%.
¿Cuál es el porcentaje de lesión intraperitoneal en heridas abdominales por arma blanca?,30\%.
¿Cuál es la conducta inmediata ante un paciente con herida abdominal por arma de fuego?,Laparotomía inmediata.
Menciona dos indicaciones clínicas directas de laparotomía tras un trauma abdominal.,Irritación peritoneal y evisceración.
¿Qué cantidad de sangre aspirada inicialmente hace que un Lavado Peritoneal Diagnóstico (LPD) se considere positivo?,10 cc.
¿Cuál es el recuento de eritrocitos por $mm^{3}$ necesario para considerar positivo un LPD tras infundir un litro de suero?,"100,000 eritrocitos/$mm^{3}$."
¿Cuál es el recuento de leucocitos por $mm^{3}$ necesario para considerar positivo un LPD?,500 leucocitos/$mm^{3}$.
"En un paciente inestable con trauma cerrado, ¿qué estudios de imagen son de elección inicial?",USG FAST o LPD.
¿Cuál es el estudio de imagen de elección para evaluar el retroperitoneo en un paciente estable?,Tomografía Axial Computarizada (TAC).
¿Cuáles son las 4 regiones que evalúa el examen USG FAST?,"Subxifoidea, fosa hepatorrenal (Morison), fosa esplenorrenal y pelvis (saco de Douglas)."
Menciona tres signos físicos que contraindican la colocación de una sonda uretral sin antes realizar un uretrograma retrógrado.,"Sangre en el meato, hematoma escrotal y equimosis perineal."
"En caso de sospecha de lesión uretral donde no se puede colocar sonda, ¿cuál es el procedimiento a seguir?",Insertar una sonda suprapúbica.
"¿Qué mecanismo de fractura pélvica es conocido como ""libro abierto""?",Compresión anteroposterior.
¿Cuál es el mecanismo de fractura pélvica más grave y asociado a mayor mortalidad?,Compresión anteroposterior (Libro abierto).
¿A partir de qué altura de caída se suele producir una lesión por cizallamiento vertical de la pelvis?,Más de 12 pies (3.66 metros).
¿Cuál es el mecanismo de fractura pélvica más común?,Compresión lateral (cerrada).
¿Cuál es el método de elección para el control del sangrado arterial en fracturas de pelvis?,Embolización por angiografía.
Menciona una medida de estabilización mecánica temporal para una pelvis inestable en urgencias.,Uso de una sábana o inmovilizador pélvico.
¿Qué hallazgo en el examen físico de extremidades sugiere una fractura de pelvis en ausencia de fracturas de fémur?,Diferencia en el largo de las extremidades o rotación de la pierna.
¿Cuál es la arteria más frecuentemente lesionada en el trauma periférico?,Arteria femoral superior.
¿Cuál es la arteria más frecuentemente lesionada en el trauma de miembro superior?,Arteria braquial (20-30\%).
"¿Cuáles son los ""signos duros"" de lesión vascular que indican exploración quirúrgica inmediata?","Hemorragia pulsátil, ausencia de pulsos, hematoma en expansión, frémito o soplo."
"Menciona tres ""signos blandos"" de lesión vascular periférica.","Reducción de pulsos, lesión cercana a trayecto vascular y alteración nerviosa."
"Nombra las 6 ""P"" indicativas de insuficiencia vascular periférica.","Pain, Palidez, Parestesias, Parálisis, Pulselessness y Pérdida de temperatura."
¿Qué valor del índice Tobillo-Brazo (ITB) se considera indicativo de una lesión arterial muy grave?,Menor a 0.5.
¿Cuál es el estándar de oro para el diagnóstico de trauma vascular?,Arteriografía.
¿Cuál es el método de elección para trauma vascular ante la baja disponibilidad de arteriografía?,Angiotomografía (AngioTAC).
¿Cuál es el tiempo recomendado de observación para un paciente con trauma vascular?,24 a 48 horas.
¿Cuál es la causa principal de muerte fetal en el trauma obstétrico?,Shock y muerte de la madre.
¿Cuál es la segunda causa de muerte fetal tras un traumatismo abdominal?,Desprendimiento prematuro de placenta.
