¿En qué sitio anatómico ocurre frecuentemente la fecundación durante el primer día posovulación?,Ámpula (ampolla de la trompa de Falopio).
¿Qué estructura resulta de la unión del óvulo y el espermatozoide antes de dividirse en mórula?,Cigoto.
¿En qué días tras la ovulación ocurre típicamente la implantación del blastocisto?,Día 6 o 7.
"Dentro de la estructura del blastocisto, ¿qué parte dará origen a la placenta?",Trofoblasto.
"Dentro de la estructura del blastocisto, ¿qué parte dará origen al feto?",Masa celular interna.
¿A partir de qué mes de gestación la placenta alcanza su estructura definitiva con división en cotiledones?,Quinto mes.
¿Cuál es la principal función de la placenta como barrera mecánica?,Evitar la comunicación directa entre la circulación materna y la fetal.
¿Qué hormona es producida por el trofoblasto desde etapas tempranas del embarazo?,β-HCG (Hormona Gonadotropina Coriónica Humana).
¿Qué estructura produce la progesterona antes de la semana 6 de gestación?,Cuerpo lúteo.
¿Cuál es el precursor bioquímico necesario para la producción de progesterona en el embarazo?,Colesterol.
¿A través de qué mecanismo de transporte pasan el O₂ y el CO₂ por la placenta?,Difusión simple.
¿A través de qué mecanismo de transporte se intercambia la glucosa en la placenta?,Difusión facilitada.
¿Qué sustancias utilizan el transporte activo para cruzar la barrera placentaria?,"Hierro, aminoácidos y vitaminas hidrosolubles."
¿Qué tipo de anticuerpos maternos pueden cruzar la placenta mediante pinocitosis?,IgG.
¿Qué inmunoglobulina no puede atravesar la barrera placentaria debido a su peso molecular?,IgM.
¿En qué porcentaje aproximado aumenta el volumen vascular total durante la gestación?,40%.
¿En qué semanas de gestación se alcanza el pico máximo del aumento del volumen vascular?,Semanas 28 a 32.
¿Qué tipo de soplo cardiaco puede considerarse funcional (no patológico) durante el embarazo?,Soplo sistólico funcional.
¿Cuál es el comportamiento fisiológico de la presión arterial durante los dos primeros trimestres del embarazo?,Disminuye progresivamente.
¿Qué cambios se observan frecuentemente en el eje eléctrico del ECG de una embarazada?,Desviación del eje a la izquierda.
¿Cuál es el incremento porcentual esperado de la frecuencia cardiaca durante el embarazo?,15% a 20%.
Mencione tres factores de coagulación dependientes de vitamina K que aumentan en el embarazo.,"Factores VII, IX y X."
¿Cuál es el peso aproximado del útero al final de la gestación en comparación con su peso basal?,1100 g (frente a 70 g normales).
¿Qué cantidad total de agua acumula aproximadamente una mujer durante el embarazo?,6.5 L.
