¿Cómo se define la asfixia neonatal?,Es la falta de oxígeno que genera hipoxia e isquemia debido a una alteración del intercambio gaseoso perinatal.
"En México, ¿qué lugar ocupa la asfixia como causa de muerte neonatal?",Ocupa el primer lugar.
¿Qué porcentaje de los eventos de hipoxia neonatal ocurren en la etapa intraparto?,El $85\%$ de los eventos.
Mencione tres factores de riesgo maternos para asfixia neonatal.,"Hemorragias del tercer trimestre, infecciones e hipertensión inducida por el embarazo."
"Factores de riesgo útero-placentarios para asfixia: Placenta previa, desprendimiento placentario y _____.",Prolapso de cordón umbilical (o nudos de cordón).
Mencione tres factores de riesgo fetales para asfixia neonatal.,"Retraso del crecimiento intrauterino, bajo peso y prematuridad."
¿Cuál es un signo clínico de aparición temprana relacionado con el tono muscular en la asfixia?,Depresión del tono muscular y de los reflejos.
Mencione dos datos clínicos de aparición tardía en la asfixia neonatal.,Sangrado de tubo digestivo y sangrado pulmonar.
¿Qué alteraciones urinarias se observan en la fase de aparición tardía de la asfixia?,"Retraso en la primera micción, oligoanuria y poliuria."
¿A partir de qué rango de déficit de base se presentan alteraciones neurológicas en el neonato?,Entre $10$ y $12$.
Criterio diagnóstico de asfixia: Acidosis metabólica con $pH$ menor a _____ en sangre de cordón umbilical.,$7$.
Criterio diagnóstico de asfixia: Puntuación de Apgar menor o igual a _____ a los 5 minutos.,$3$.
¿Qué marcador sérico puede indicar la presencia de hipoxia tisular en el neonato?,El lactato sérico.
¿Qué vasos se evalúan mediante ultrasonido Doppler en embarazos de alto riesgo por sospecha de asfixia?,"Arteria uterina, umbilical y cerebral media del feto."
¿Cuáles son los tres pilares del tratamiento inicial de la asfixia neonatal?,"Reanimación neonatal, asistencia ventilatoria y neuroprotección (hipotermia)."
¿Cómo se define la Encefalopatía Hipóxico Isquémica (EHI)?,Lesión encefálica por asfixia en recién nacidos con edad gestacional $\ge 35$ semanas.
¿Cuál es el principal factor de riesgo para desarrollar Encefalopatía Hipóxico Isquémica?,La prematurez.
¿Qué porcentaje de recién nacidos con EHI fallecen?,El $60\%$ de los recién nacidos.
¿Qué porcentaje de sobrevivientes de EHI quedan con discapacidad significativa?,El $25\%$.
¿Cuál es la hemorragia intracraneana más común en la etapa neonatal?,La hemorragia intraventricular.
"En la escala de Sarnat, ¿cómo se encuentra el estado de alerta en la Etapa 1?",El paciente está hiperalerta e hiperactivo.
"En la escala de Sarnat, ¿cuál es la característica de las convulsiones en la Etapa 2?",Son convulsiones frecuentes.
"En la escala de Sarnat, ¿cómo se describen los reflejos en la Etapa 3?",Los reflejos están ausentes.
"En la escala de Sarnat, ¿qué hallazgo pupilar es característico de la Etapa 3?",La anisocoria.
"En la escala de Sarnat, ¿cómo se encuentra el tono muscular en la Etapa 2?",Presenta hipotonía leve.
¿Qué escala clínica se utiliza para evaluar la gravedad y el pronóstico de la EHI?,La escala de Sarnat.
¿Cuándo se debe realizar el ultrasonido transfontanelar tras un evento de asfixia?,Después de las primeras $24$ horas posteriores al evento.
¿En qué ventana de tiempo debe realizarse el EEGa (amplitud integrada) como predictor de EHI?,En las primeras $6$ horas.
¿Cuál es el Gold Standard para evaluar la gravedad de la EHI y en qué tiempo debe realizarse?,EEG convencional realizado en las primeras $24$ horas.
Criterio de inclusión para hipotermia terapéutica: Recién nacido menor de _____ semanas de gestación.,$36$ semanas.
Criterio de inclusión para hipotermia terapéutica: Peso menor de _____ gramos.,$1800$ gramos.
