¿Qué porcentaje de infiltración grasa macrovesicular en los hepatocitos define al hígado graso no alcohólico?,Más del $5\%$.
¿Qué hallazgos histopatológicos distinguen a la esteatohepatitis no alcohólica de la esteatosis simple?,"Necroinflamación, balonización hepatocelular y fibrosis."
¿Cuál es la enfermedad hepática crónica más frecuente en pacientes en la cuarta década de la vida?,Enfermedad hepática grasa no alcohólica ($75\%$).
Mencione el punto de corte del Índice de Masa Corporal (IMC) considerado factor de riesgo para EHGNA.,IMC $> 25$.
¿Cuál es el estudio de imagen de primera elección para el diagnóstico de hígado graso no alcohólico?,Ultrasonido de hígado y vías biliares.
¿Cuál es el estándar de oro para el diagnóstico de la enfermedad hepática grasa no alcohólica?,Biopsia hepática.
¿Qué cuerpos de inclusión histológicos se encuentran característicamente en la biopsia de EHGNA?,Cuerpos de Mallory.
"En las pruebas de funcionamiento hepático de un paciente con EHGNA, ¿qué transaminasa suele estar más elevada?",AST mayor que ALT.
¿Qué nivel de ferritina es sugestivo de enfermedad hepática grasa no alcohólica?,Ferritina $> 1.5$.
¿Cuál es el porcentaje de reducción de peso necesario para reducir la enfermedad hepática en un $97\%$?,Reducción del $10\%$.
¿Cuál es el tratamiento farmacológico de elección para la esteatohepatitis en pacientes diabéticos?,Pioglitazona ($30$ mg por día).
¿Cuál es el medicamento de primera línea en pacientes no diabéticos con esteatohepatitis no alcohólica?,Vitamina E (Alfa-tocoferol) $800$ UI al día.
¿Cuál es el principal riesgo sistémico aumentado en pacientes con EHGNA?,Riesgo cardiovascular.
El síndrome caracterizado por hígado negruzo e ictericia persistente se conoce como _____.,Síndrome de Dubin-Johnson
¿Cuál es la principal causa de ictericia metabólica constitucional?,Síndrome de Gilbert.
¿Cuál es el tratamiento definitivo para la hepatitis alcohólica con un puntaje MELD $> 15$?,Trasplante hepático.
¿Qué fármacos son responsables del $90\%$ de los casos de hepatitis autoinmune?,Minociclina y Nitrofurantoína.
¿Cuál es la principal patología asociada a la hepatitis autoinmune?,Hipotiroidismo.
¿Con qué alelos del sistema HLA se relaciona la hepatitis autoinmune?,HLA DR3 y DR4.
Mencione los autoanticuerpos característicos de la hepatitis autoinmune tipo I.,ANA (Antinucleares) y ASMA (Músculo liso) positivos.
¿Cuál es el hallazgo histológico definitivo en la fase crónica de la hepatitis autoinmune?,Hepatitis de interfase.
¿Qué tipo de células predominan en la fase aguda de una hepatitis autoinmune según la biopsia?,Células plasmáticas.
¿Cuál es el esquema de tratamiento de elección para la hepatitis autoinmune?,Prednisona asociada a Azatioprina.
¿Cuál es la vía de transmisión más común para el absceso hepático piógeno?,Conducto biliar (colangitis ascendente).
¿Qué microorganismos son las causas más frecuentes del absceso hepático piógeno?,$E. coli$ y $Klebsiella$.
¿Cuál es el cuadro clínico clásico del absceso hepático piógeno?,"Fiebre en picos, dolor en hipocondrio derecho y hepatomegalia."
