     1→¿Cómo se define el síndrome de Mallory-Weiss?,Desgarros longitudinales en el esófago distal y estómago proximal por aumento de presión intraabdominal.
     2→¿Cuál es la etiología más frecuente del síndrome de Mallory-Weiss en hombres?,Alcoholismo (40-80%).
     3→¿Cuál es la causa principal del síndrome de Mallory-Weiss en mujeres?,Hiperemesis gravídica.
     4→¿En qué ventana de tiempo está indicada la endoscopia en el síndrome de Mallory-Weiss?,Entre >6 horas y <24 horas del evento.
     5→¿Qué porcentaje de casos de Mallory-Weiss presentan remisión espontánea del sangrado?,80%.
     6→¿Cuál es el fármaco con la tasa más efectiva de cicatrización en el síndrome de Mallory-Weiss?,Esomeprazol.
     7→¿Qué enzima produce H. pylori para sobrevivir al ambiente ácido del estómago?,Ureasa.
     8→¿Cuál es la principal proteína patógena de H. pylori?,CagA.
     9→¿Cuál es el estudio inicial (screening) para el diagnóstico de H. pylori?,Test de urea marcada con C13.
    10→¿Cuánto tiempo antes del test de urea se deben suspender los antibióticos?,4 semanas.
    11→¿Cuánto tiempo antes del test de urea se deben suspender los inhibidores de bomba de protones (IBP)?,2 semanas.
    12→¿Cuáles son los tres fármacos que componen el tratamiento de primera elección para la erradicación de H. pylori?,"Amoxicilina, Claritromicina y Omeprazol."
    13→¿Cuál es la duración recomendada del tratamiento de erradicación para H. pylori?,14 días.
    14→¿Qué fármacos se añaden al esquema de segunda elección (cuádruple) para H. pylori además de un IBP?,"Tetraciclina, Metronidazol y Bismuto."
    15→¿Cuándo se debe realizar la prueba de aliento confirmatoria tras el tratamiento de erradicación de H. pylori?,4 semanas después de finalizar el esquema.
    16→¿Qué profundidad anatómica debe alcanzar una lesión para considerarse úlcera péptica?,Debe penetrar más allá de la muscular de la mucosa (>5 mm).
    17→¿Cuál es la principal causa de Úlcera Péptica?,Infección por H. pylori.
    18→¿Cuál es la principal causa de Sangrado de Tubo Digestivo Alto (STDA)?,Consumo crónico de AINES.
    19→¿Cuál es el principal factor de riesgo para la refractariedad de una úlcera péptica?,Tabaquismo.
    20→¿En qué pacientes con úlcera está indicada la endoscopia para descartar cáncer gástrico?,Mayores de 55 años o con síntomas de alarma.
    21→¿Cuál es el síntoma más frecuente de la úlcera péptica?,Dolor epigástrico ardoroso o quemante.
    22→¿Qué efecto tienen los alimentos sobre el dolor en la úlcera duodenal?,El dolor se alivia con la ingesta de alimentos.
    23→¿Qué efecto tienen los alimentos sobre el dolor en la úlcera gástrica?,El dolor aumenta al momento de comer.
    24→¿Cuál es la asociación porcentual de la úlcera duodenal con H. pylori?,95%.
    25→¿Dónde se localizan el 95% de las úlceras duodenales?,En la primera porción del duodeno.
    26→¿Cuál es el Gold Standard para el diagnóstico de H. pylori?,Cultivo.
    27→¿Cuál es el tiempo de tratamiento con IBP recomendado para una úlcera duodenal tras la erradicación?,8 semanas.
