¿Cómo se define el parto pretérmino en cuanto a edad gestacional y peso?,Parto entre la semana 22-36.6 o con peso ≥ 500 g con signos de vida.
"Según la clasificación GPC 2017, ¿qué semanas de gestación abarca un prematuro extremo?",Menos de 28 semanas.
"Según la clasificación GPC 2017, ¿qué rango de semanas define a un recién nacido muy prematuro?",Entre 28 y 31 semanas.
"Según la clasificación GPC 2017, ¿cuál es el rango de semanas para un prematuro moderado?",Entre 32 y 33 semanas.
"Según la clasificación GPC 2017, ¿qué semanas corresponden al parto pretérmino tardío?",Entre 34 y 36 semanas.
¿Qué porcentaje de la mortalidad perinatal a nivel mundial se asocia al parto pretérmino?,Hasta un 70%.
¿Cuál es la frecuencia de contracciones para diagnosticar una amenaza de parto pretérmino (APP)?,Menos de 4 contracciones en 20 minutos u 8 en 60 minutos.
¿Cuáles son los criterios de dilatación y borramiento cervical en una amenaza de parto pretérmino (APP)?,Dilatación ≤ 3 cm y borramiento < 50%.
¿Cuál es la frecuencia de contracciones que indica que el trabajo de parto pretérmino ya se ha establecido?,≥ 4 contracciones en 20 minutos o > 8 en 60 minutos.
¿Qué cambios cervicales definen al parto pretérmino establecido frente a la amenaza?,Dilatación > 3 cm y borramiento > 50%.
¿Qué sistema se utiliza para valorar el nivel de riesgo de parto pretérmino en una paciente?,Sistema de riesgo de Papiernik.
¿Qué longitud cervical medida por USG entre las semanas 20-24 se considera un factor de riesgo anatómico?,Menor a 25 mm.
¿Qué longitud cervical medida por USG entre las semanas 14-15 se considera un factor de riesgo anatómico?,Menor a 15 mm.
¿En qué semanas se recomienda realizar el tamizaje de longitud cervical en pacientes de alto riesgo?,Entre la semana 13 y 15.
¿En qué semanas se realiza la medición de longitud cervical en pacientes con factores de riesgo generales?,Entre la semana 20 y 24.
¿Cuál es el tratamiento preventivo indicado para una paciente con longitud cervical < 15 mm en la semana 13-15?,Cerclaje cervical (disponible hasta la semana 34).
¿Cuál es el tratamiento preventivo para una paciente con cérvix < 25 mm detectado entre las semanas 20-24?,Progesterona vaginal.
¿Hasta qué semana se recomienda mantener el tratamiento con progesterona vaginal en pacientes con cérvix corto?,Hasta la semana 34-36.
¿Qué conducta se debe seguir si el Índice tocolítico de Gruber-Baumgarten es ≥ 5?,Se diagnostica parto pretérmino y se deja evolucionar el trabajo de parto.
¿Bajo qué puntaje del Índice de Gruber se puede considerar la terapia tocolítica?,Menor a 5 puntos.
¿En qué rango de semanas de gestación es útil realizar la prueba de fibronectina?,Entre la semana 24 y 34.
¿Cuál es el valor predictivo negativo (VPN) de la prueba de fibronectina para parto pretérmino?,Aproximadamente 95%.
¿Cuál es el útero-inhibidor de primera elección en el manejo ambulatorio de la amenaza de parto pretérmino?,Nifedipino (vía oral).
¿Por qué se contraindica la indometacina como tocolítico en gestaciones mayores a 32 semanas?,Por el riesgo de cierre precoz del conducto arterioso fetal.
¿En qué pacientes se indica la administración de corticoesteroides para maduración pulmonar?,Pacientes < 34 semanas con riesgo de parto pretérmino o ruptura de membranas.
¿Cuáles son las contraindicaciones absolutas para el uso de corticoesteroides en la maduración pulmonar?,"Diabetes mellitus descontrolada, tuberculosis activa o corioamnionitis."
¿Cuál es la indicación para administrar sulfato de magnesio como neuroprotección fetal?,Gestaciones menores a 32 semanas con riesgo de parto inminente.
¿Qué condición define a la Ruptura Prematura de Membranas (RPM) como 'prolongada'?,Cuando lleva más de 18 horas de evolución.
¿Cuál es la causa principal de la Ruptura Prematura de Membranas (RPM)?,Infecciones (como cervicovaginitis e IVUs).
¿Qué deficiencia de mineral y vitamina se asocia a la etiología de la RPM?,Cobre y vitamina C.
¿Cómo se define una RPM 'previable'?,Ocurre antes de las 24 semanas de gestación.
¿En qué consiste el signo de Tarnier observado durante la especuloscopía?,Salida de líquido abundante por la vagina al realizar maniobras.
¿Cuál es el 'Gold Standard' para el diagnóstico de Ruptura Prematura de Membranas?,Antecedente clínico de salida de líquido (aunque se auxilia de pruebas).
