¿Cómo se define el Sangrado Uterino Anormal (SUA)?,"Alteración del ciclo menstrual normal que afecta la frecuencia, duración y cantidad de flujo."
Definición de Hemorragia Uterina Anormal (HUA),Sangrado uterino que presenta un aumento tanto en duración como en cantidad.
¿Qué es la metrorragia?,Pérdida sanguínea intermenstrual de origen uterino no atribuible a la menstruación.
¿Qué criterio de duración define a la menorragia?,Menstruación que dura más de 7 días.
¿Qué es la menometrorragia?,Sangrado intermenstrual que se presenta de forma abundante.
¿Cuál es el rango de duración normal de la menstruación?,3-8 días.
¿Cuál es el volumen de pérdida hemática considerado normal en un ciclo?,5-80 ml.
¿Cuál es la frecuencia normal del ciclo menstrual en días?,24-38 días.
Capacidad de absorción estimada de un tampón,5 ml.
Capacidad de absorción estimada de una toalla sanitaria,15 ml.
¿Qué representan las siglas de la clasificación estructural PALM?,"Pólipo, Adenomiosis, Leiomioma y Malignidad."
¿Qué representan las siglas de la clasificación no anatómica COEIN?,"Coagulopatía, Disfunción ovulatoria, Endometrial, Iatrogénica y No clasificado."
¿Cuál es la causa más frecuente dentro de la clasificación COEIN?,Disfunción ovulatoria.
Definición de dismenorrea,Dolor uterino asociado a la menstruación por aumento de contracciones debido a un desequilibrio hormonal.
Factores hormonales involucrados en la fisiopatología de la dismenorrea,"Desequilibrio entre progesterona, vasopresina y prostaglandinas E2 y F2."
¿Qué caracteriza a la dismenorrea primaria?,"Ausencia de patología orgánica asociada, iniciando usualmente en los primeros 6 meses tras la menarca."
Localización y tipo de dolor típico en la dismenorrea primaria,Dolor tipo cólico en región hipogástrica con irradiación lumbosacra o al muslo anterior.
¿Cuál es la causa más común de dismenorrea secundaria?,Endometriosis.
Diferencia clínica del dolor en la dismenorrea secundaria respecto a la primaria,"El dolor es más persistente, severo y puede presentarse fuera del ciclo menstrual."
Factores de riesgo para desarrollar dismenorrea,"IMC menor a 20, tabaquismo, consumo de alcohol/drogas y antecedentes heredofamiliares."
Factores protectores contra la dismenorrea,"Uso de anticonceptivos orales, ejercicio, multiparidad e ingesta de pescado."
Estudio de imagen de elección para la evaluación inicial de dismenorrea,Ultrasonido pélvico o transvaginal.
Estándar de oro para el diagnóstico de dismenorrea secundaria y dolor pélvico crónico,Laparoscopia.
Tratamiento farmacológico de primera elección para la dismenorrea,AINES por un periodo de 3 meses.
Tratamiento quirúrgico de última elección para dismenorrea refractaria,Neurectomía pre-sacra.
¿Qué es la endometriosis?,"Presencia de glándulas y estroma endometrial fuera del útero, siendo una patología benigna y estrógeno dependiente."
¿En qué consiste la teoría de Sampson sobre la endometriosis?,"Menstruación retrógrada, donde el tejido endometrial regresa por las trompas y se implanta en la cavidad."
¿En qué consiste la teoría de Meyer sobre la endometriosis?,"Metaplasia del epitelio celómico, donde células fuera del útero se transforman en tejido similar al endometrio."
Localización anatómica más frecuente de la endometriosis,Ovarios (frecuentemente el izquierdo).
Sitio más frecuente de recurrencia de la endometriosis,Intestino.
La tríada clásica de la endometriosis,"Dispareunia, infertilidad y dismenorrea."
Síntoma más frecuente de la endometriosis en general,Dolor pélvico crónico (presente en el 95% de los casos).
Manifestación clínica de la endometriosis torácica,"Hemoptisis catamenial, dolor torácico, tos y disnea."
¿En qué momento del ciclo se recomienda realizar la exploración física en sospecha de endometriosis?,Durante la menstruación.
Estudio de imagen inicial para identificar endometriomas,Ultrasonido transvaginal.
Estándar de oro terapéutico en endometriosis,Laparoscopia (especialmente ante endometriomas > 3 cm).
Tratamiento quirúrgico definitivo para pacientes con paridad satisfecha y endometriosis grave,Histerectomía total abdominal más ooforectomía.
¿Qué complicación obstétrica es común en pacientes con endometriosis en el primer trimestre?,Aborto espontáneo o embarazo ectópico.
¿Qué es el Síndrome de Ovario Poliquístico (SOP)?,"Endocrinopatía caracterizada por hiperandrogenismo, alteraciones menstruales y anovulación crónica."
¿Cuál es el otro nombre del Síndrome de Ovario Poliquístico?,Síndrome de Stein-Leventhal.
Mecanismo fisiopatológico de la anovulación en el SOP,Elevación de LH en meseta que evita el pico necesario para la ovulación.
Relación hormonal típica LH/FSH en el SOP,Relación LH/FSH > 2.
Dato clínico más frecuente del hiperandrogenismo en SOP,Hirsutismo (presente en el 60%).
