¿Cuál es la causa más común de infección congénita en México?,"Citomegalovirus (CMV), afectando al $0.6\%$ de los recién nacidos."
¿Cuál es la principal causa de hipoacusia y sordera neurosensorial infantil de origen infeccioso?,La infección congénita por Citomegalovirus.
"En el recién nacido, la principal fuente de infección por CMV adquirida es a través de _____.",La leche materna.
¿En qué trimestre del embarazo es más grave la infección por CMV?,En el primer trimestre.
¿Cuál es la técnica diagnóstica más utilizada en el recién nacido para CMV por su rapidez?,PCR en orina (resultados en $24-48$ horas).
¿Qué tipo de calcificaciones intracraneales son características del Citomegalovirus?,Calcificaciones periventriculares.
"¿Cuál es el hallazgo oftalmológico característico del CMV descrito como ""lesiones en salsa de catsup""?",Coriorretinitis (condensaciones vítreas).
¿Cuál es el tratamiento de elección para la infección congénita por CMV?,Ganciclovir IV ($12\ mg/kg/día$ por $6$ semanas) y cambio posterior a Valganciclovir.
¿Cuál es el principal efecto adverso del Ganciclovir en el tratamiento de CMV?,Neutropenia.
Concepto: Toxoplasma gondii,Definición: Protozoo intracelular obligado cuyo huésped definitivo es el gato.
¿Cómo se adquiere típicamente la toxoplasmosis durante el embarazo?,Por ingesta de carne poco cocinada o contacto con ooquistes en heces de gato.
¿Qué porcentaje de los recién nacidos con toxoplasmosis congénita son asintomáticos al nacer?,Aproximadamente el $80\%$.
¿Cuáles son los componentes de la Tétrada clásica de Sabin en toxoplasmosis?,"Coriorretinitis, hidrocefalia obstructiva, calcificaciones intracerebrales difusas y convulsiones."
¿Cuál es la secuela más frecuente de la toxoplasmosis congénita?,Coriorretinitis.
¿Cuál es el dato clínico más frecuente en la toxoplasmosis congénita?,Esplenomegalia.
¿A partir de qué semana de gestación se recomienda realizar la amniocentesis para detectar toxoplasmosis fetal?,Después de las semanas $18-20$ de gestación.
¿Cuál es el tratamiento para la toxoplasmosis congénita en el recién nacido?,Pirimetamina + Sulfadiazina + Ácido folínico por un año.
¿Qué fármaco se utiliza para profilaxis si se confirma toxoplasmosis fetal antes de las $18$ semanas de gestación?,Espiramicina.
¿Cuál es el tratamiento para toxoplasmosis fetal si el diagnóstico se confirma después de las $18$ semanas de gestación?,Pirimetamina + Sulfadiazina + Ácido folínico + Espiramicina por $4$ semanas.
La tríada de Gregg es característica de la infección por _____.,Rubéola congénita.
¿Cuáles son los tres componentes de la tríada de Gregg?,"Sordera neurosensorial, cardiopatía congénita y alteraciones oculares (cataratas o glaucoma)."
¿Cuál es la cardiopatía congénita más frecuente asociada al Síndrome de Rubéola Congénita?,Persistencia del conducto arterioso (PCA).
¿Cuál es el riesgo de contagio de rubéola al feto si la madre se infecta antes de la semana $11$?,Un $90\%$.
"Si la infección por rubéola ocurre después de la semana _____ de gestación, el riesgo de daño orgánico múltiple es nulo.",$16$.
¿Cuál es la prueba diagnóstica confirmatoria de rubéola congénita en el recién nacido?,Detección de RNA viral del recién nacido.
¿Cómo se transmite predominantemente el Virus del Herpes Simple (HSV) al recién nacido?,Durante el paso por el canal del parto.
¿Qué tipo de HSV provoca el $90\%$ de los casos de herpes neonatal?,HSV tipo $2$ (Genital).
¿Qué factor de riesgo aumenta significativamente la transmisión de HSV de madre a hijo?,Presencia de lesiones visibles en la madre al momento del parto o ruptura prolongada de membranas.
¿Cómo se describen las lesiones cutáneas clásicas del herpes neonatal local?,"Lesiones cutáneas coalescentes sobre base eritematosa o ""gotas de rocío""."
¿Cuál es la dosis de Aciclovir recomendada para el recién nacido con infección por herpes?,$30\ mg/kg/día$ durante $14-20$ días.
¿En qué casos de herpes materno se indica el nacimiento por cesárea?,Cuando existen lesiones activas al momento del parto.
¿Cuál es el agente causal de la sífilis?,Treponema pallidum.
"La sífilis _____ se manifiesta en los primeros $2$ años de vida, frecuentemente con rinitis hemorrágica y pénfigo ampolloso.",Temprana (o reciente).
¿En qué localización se presenta típicamente el pénfigo sifilítico en el recién nacido?,En palmas y plantas.
Concepto: Signo de Wimberger,"Definición: Destrucción ósea de la porción medial de la metáfisis tibial proximal, característica de la sífilis congénita."
¿Qué es el signo de Higoumenakis en la sífilis congénita?,Engrosamiento proximal de la clavícula.
¿Cuáles son los componentes de la tríada de Hutchinson (sífilis tardía)?,"Queratitis intersticial, sordera neurosensorial e incisivos en forma de pala."
¿Qué hallazgo dental en molares es característico de la sífilis tardía (> 2 años)?,Molares en forma de mora.
¿Con qué pruebas se realiza inicialmente el tamizaje de sífilis en la embarazada?,Pruebas no treponémicas cuantitativas (VDRL o RPR).
¿Qué prueba confirma el diagnóstico de sífilis por su alta especificidad?,Pruebas treponémicas (como FTA-ABS o TP-PA).
¿Cuál es el tratamiento de elección para la sífilis congénita en recién nacidos menores de $1$ mes?,"Penicilina G cristalina $50,000\ UI$ cada $12$ horas IV por $7$ días, luego cada $8$ horas hasta completar $10$ o $14$ días."
"En sífilis congénita, se considera curado al paciente si la serología es negativa a los _____ meses.",$6$.
¿Cuál es el riesgo de varicela congénita si la madre se infecta antes de la semana $20$?,$2\%$.
¿Cuáles son las manifestaciones clínicas de la varicela congénita?,"Cicatrices cutáneas en patrón dermatomal, hipoplasia de extremidades y microcefalia."
¿Cuándo debe aplicarse la vacuna contra varicela a una mujer que planea embarazarse?,$28$ días antes del embarazo.
¿Qué medida se debe tomar en una madre expuesta a varicela para prevenir la infección fetal?,Aplicar inmunoglobulina específica en las primeras $96$ horas.
¿Qué hallazgo en el ultrasonido fetal sugiere varicela congénita?,Identificación de anomalías estructurales (como hipoplasia de extremidades).
Comparación: Calcificaciones en CMV vs. Toxoplasmosis,CMV: Periventriculares; Toxoplasmosis: Difusas.
Comparación: Tamaño de la cabeza en CMV vs. Toxoplasmosis,CMV: Microcefalia; Toxoplasmosis: Macrocefalia (por hidrocefalia).
¿Cuál es la complicación fetal grave de la varicela en el período perinatal (5 días antes a 2 días después del parto)?,Varicela neonatal grave que puede provocar la muerte fetal.
"¿Qué característica clínica en el recién nacido se conoce como ""Blueberry muffin baby""?","Púrpura trombocitopénica con hematopoyesis extramedular, común en CMV y Rubéola."
La rinitis hemorrágica al nacer es un signo altamente sugestivo de _____.,Sífilis congénita.
¿A qué edad aparecen típicamente los síntomas de la sífilis tardía?,Después de los $2$ años de edad.
¿Cuál es el seguimiento serológico recomendado para un niño con sospecha de sífilis congénita?,Cada $2$ meses hasta que los niveles de VDRL sean negativos.
Concepto: Pseudoparálisis de Parrot,Definición: Limitación del movimiento de una extremidad debido al dolor por osteocondritis en la sífilis congénita.
¿Qué estudio complementario se solicita para evaluar microcalcificaciones y arterias estriadas en CMV?,TAC de cráneo.
¿Qué parásito es el responsable de la toxoplasmosis congénita?,Toxoplasma gondii.
¿Qué fármaco se añade al tratamiento de toxoplasmosis para prevenir la toxicidad de la pirimetamina?,Ácido folínico.
"En la sífilis primaria materna, la probabilidad de transmisión vertical es del _____.",$70-100\%$.
"En el Síndrome de Rubéola Congénita, las secreciones faríngeas pueden ser contagiosas hasta por _____ meses.",$27$.
¿Cuál es el hallazgo de laboratorio hepático común en CMV congénito?,Hiperbilirrubinemia conjugada y transaminasas elevadas.
"Antes de las $28$ semanas de gestación, no existe transferencia placentaria de _____.",Inmunoglobulinas.
¿Qué acción inactiva el CMV en la leche materna?,La congelación a $-20^{\circ}C$.
"La tríada de Sabin es diagnóstica de _____, mientras que la de Gregg lo es de _____.",Toxoplasmosis / Rubéola.
¿Qué síntoma del SNC es común en la extensión sistémica del herpes neonatal?,Encefalitis con letargia e hipotonía.
¿Cuál es la mortalidad aproximada de la varicela congénita?,$30\%$.
