¿De qué células específicas se origina el linfoma de Hodgkin?,De los linfocitos B maduros localizados en el centro germinal de los ganglios linfáticos.
"¿Cuál es la célula gigante multinucleada característica, aunque no patognomónica, del linfoma de Hodgkin?",La célula de Reed-Sternberg.
Menciona los tres marcadores inmunohistoquímicos característicos del linfoma de Hodgkin.,"CD15, CD30 y Ki-1."
¿Con qué agente viral se asocia frecuentemente la patogenia del linfoma de Hodgkin?,El virus de Epstein-Barr (VEB).
¿Cuántas veces es mayor el riesgo de padecer linfoma de Hodgkin en pacientes con VIH/SIDA?,8 veces mayor.
"En el linfoma de Hodgkin, ¿cuál es el sitio más frecuente de aparición de adenopatías periféricas?",La región cervical.
¿Qué síntoma cutáneo se considera típico y distintivo del linfoma de Hodgkin?,El prurito.
¿Qué fenómeno clínico ocurre en los ganglios de algunos pacientes con linfoma de Hodgkin tras consumir alcohol?,Dolor en las adenopatías.
¿Cuál es la principal vía de diseminación del linfoma de Hodgkin?,La vía linfática.
Define el concepto de 'enfermedad voluminosa' o 'masa bulky' en linfomas según el diámetro.,Una masa que mide más de $10$ cm.
"Según la clasificación de Ann Arbor, ¿qué define al Estadio I?",Afectación de una sola región ganglionar o un solo sitio extralinfático localizado.
"Según la clasificación de Ann Arbor, ¿qué define al Estadio II?",Afectación de dos o más regiones ganglionares del mismo lado del diafragma.
¿Qué hallazgo define al Estadio III en la escala de Ann Arbor?,Afectación de regiones ganglionares a ambos lados del diafragma.
Describe el Estadio IV de la estadificación de Ann Arbor.,"Infiltración difusa o diseminada de uno o más órganos extranodales, con o sin involucro ganglionar."
¿Cuáles son los tres 'síntomas B' específicos utilizados en la estadificación de linfomas?,"Fiebre $> 38^{\circ}C$, diaforesis nocturna y pérdida de peso $> 10\%$ en los últimos 6 meses."
"En la estadificación de Ann Arbor, ¿qué significa el sufijo 'A'?",Ausencia de síntomas sistémicos (síntomas B).
"En radiografía de tórax, ¿cuándo se considera que un tumor mediastinal es 'masa bulky' (X)?",Cuando el diámetro del tumor es mayor a un tercio del diámetro interno del tórax medido entre T5/T6.
¿Cuál es el estudio 'gold estándar' para el diagnóstico definitivo del linfoma de Hodgkin?,La biopsia excisional de ganglio linfático.
¿Cuál es el hallazgo típico en un hemograma de un paciente con linfoma de Hodgkin?,Hemograma normal (se dice que 'no leucemiza').
¿Qué variante histológica del linfoma de Hodgkin tiene el mejor pronóstico?,El predominio linfocítico nodular.
¿Qué morfología celular característica presentan las células neoplásicas en la variante de predominio linfocítico nodular?,Células en 'palomita de maíz' (popcorn cells).
¿Cuál es la variante histológica más frecuente del linfoma de Hodgkin en EE.UU. y Europa?,La esclerosis nodular.
¿Qué tipo de células de Reed-Sternberg son características de la variante esclerosis nodular?,Células lacunares.
¿Cuál es el rango de edad más frecuente para la presentación de la variante esclerosis nodular?,Entre $15$ y $34$ años.
¿Qué variante histológica es la más común en pacientes con VIH/SIDA y tiene una edad media de presentación de $38$ años?,La celularidad mixta.
¿Qué variante del linfoma de Hodgkin tiene el peor pronóstico y se asocia a ganglios retroperitoneales?,La depleción linfocitaria.
¿Qué fármacos componen el esquema de quimioterapia ABVD?,"Adriamicina (Doxorrubicina), Bleomicina, Vinblastina y Dacarbacina."
¿Cuántos ciclos de ABVD se recomiendan usualmente seguidos de radioterapia?,4 ciclos.
¿Cuál es el rango de dosis de radioterapia (en Grays) utilizado típicamente en el linfoma de Hodgkin?,$20$-$30$ Gy.
¿Cuál es el origen celular más frecuente en los linfomas no Hodgkin (LNH)?,Las células B.
¿Cómo varía la frecuencia relativa de linfomas B frente a linfomas T en la población pediátrica comparada con los adultos?,"En pediatría la frecuencia se invierte, siendo más comunes los linfomas T."
¿Qué dos subtipos de linfoma no Hodgkin son los más frecuentes en adultos?,El difuso de células B grandes y el folicular.
¿Qué agente infeccioso se asocia específicamente al linfoma gástrico tipo MALT?,$\textit{Helicobacter pylori}$.
¿Qué translocación cromosómica es característica del linfoma de Burkitt?,$t(8;14)$.
¿Qué translocación cromosómica se asocia al linfoma folicular en adultos menores de $65$ años?,$t(14;18)$.
¿Qué translocación cromosómica es típica del linfoma de manto?,$t(11;14)$.
¿Cuál es la característica clínica principal de la linfadenopatía en el linfoma no Hodgkin?,Linfadenopatía generalizada no dolorosa.
¿Qué porcentaje de pacientes con linfoma no Hodgkin presentan síntomas B?,$40\%$.
¿En qué localización anatómica suele presentarse el linfoma de Burkitt en niños?,Como una masa abdominal mayor a $10$ cm.
¿Cuál es la localización anatómica predominante de las neoplasias de células T (timo)?,Mediastino y cuello.
¿Qué complicación vascular puede presentarse en linfomas T de localización mediastinal?,"Síndrome de vena cava superior (aunque el material menciona inferior, clínicamente en mediastino es superior)."
¿Qué patrón histológico es el hallazgo clásico en la biopsia del linfoma de Burkitt?,Patrón en 'cielo estrellado'.
¿Qué fármacos integran el esquema de quimioterapia CHOP?,"Ciclofosfamida, Doxorrubicina (Adriamicina), Vincristina y Prednisona."
¿Cuántos ciclos del esquema CHOP se administran típicamente en el linfoma no Hodgkin?,3 ciclos.
¿Cuál es la dosis de radioterapia recomendada para el tratamiento del linfoma no Hodgkin?,$30$-$36$ Gy.
"En el contexto de linfomas, ¿qué significan las siglas 'L y H'?",Variedad linfocítica y/o histocítica.
¿Cuál es el segundo sitio más frecuente de adenopatías en el linfoma de Hodgkin tras el cuello?,La región mediastínica.
"Según la clasificación de Cotswolds, ¿qué indica el sufijo 'E'?",Infiltración localizada de un solo órgano o sitio extralinfático.
¿Qué variante de linfoma de Hodgkin se presenta con abundantes células de Hodgkin y Reed-Sternberg en un fondo con pocos linfocitos?,La depleción linfocitaria.
¿Cuál es el linfoma considerado más agresivo debido al rápido crecimiento de sus ganglios?,El linfoma de Burkitt.
"La tríada de fiebre, pérdida de peso y diaforesis se conoce colectivamente como _____.",Síntomas B.
"El esquema de tratamiento estándar para el linfoma de Hodgkin es el _____, mientras que para el linfoma no Hodgkin es el _____.",ABVD / CHOP
La translocación $t(8;14)$ involucra al protooncogén MYC y es típica del linfoma de _____.,Burkitt
"En la variante de _____ del linfoma de Hodgkin, el tejido linfoide es reemplazado por bandas de colágeno que circundan nódulos tumorales.",Esclerosis nodular
Concepto: Células L y H,Definición: Células neoplásicas con núcleo multilobulado (en palomita de maíz) características del linfoma de Hodgkin de predominio linfocítico nodular.
Concepto: Clasificación de Ann Arbor Estadio IIE,Definición: Afectación de dos o más regiones ganglionares del mismo lado del diafragma junto con infiltración localizada de un sitio extralinfático.
