¿En qué consiste la inducción del trabajo de parto?,En desencadenar los fenómenos fisiológicos del parto después de la semana 22 de gestación.
¿Cuál es la principal complicación de la inducción del trabajo de parto?,La ruptura uterina.
Indicación de inducción: ruptura prematura de membranas a término tras _____ horas del evento.,24
¿A qué edad gestacional se debe ofrecer la inducción a mujeres con embarazo prolongado?,Entre las semanas 41 y 42.
"Para realizar una inducción, ¿cuál es el requisito respecto a la presentación fetal?",Debe ser presentación cefálica.
¿Qué escala se utiliza para valorar si una paciente es candidata a inducción o requiere maduración cervical?,El índice de Bishop.
¿Cuál es el puntaje del índice de Bishop que indica una alta probabilidad de éxito para iniciar la inducción?,> 6
¿Qué conducta se debe seguir si el índice de Bishop es < 6?,Realizar maduración cervical.
"¿Cuál es el fármaco ""estándar de oro"" para la inducción del trabajo de parto con Bishop favorable?",Oxitocina.
¿Cuál es la dosis mínima de oxitocina recomendada para la inducción?,1-2 mU/min.
¿Cuál es el fármaco de elección (PGE2) para la maduración cervical?,Dinoprostona.
¿Qué fármaco (PGE1) es de elección para la maduración cervical en casos de muerte intrauterina?,Misoprostol.
¿Qué complicación uterina se asocia frecuentemente al uso de prostaglandinas?,Taquisistolia.
¿En qué consiste la maniobra de Hamilton?,En despegar las membranas amnióticas de forma manual.
"En el índice de Bishop, ¿qué parámetro evalúa la posición del cérvix?","Posición (Posterior, Medio o Anterior)."
"En el índice de Bishop, un borramiento del > 80 % otorga un puntaje de _____.",3
¿A partir de qué edad gestacional se define el procedimiento de cesárea?,Después de las 28 semanas de gestación.
¿En qué periodo se debe derivar a segundo nivel a una paciente con antecedente de cesárea?,Entre la semana 34 y 36.
¿Cuál es el umbral de carga viral de VIH para indicar una cesárea absoluta?,"Mayor a 1,000 copias."
Un peso fetal menor a _____ gramos es una indicación absoluta de cesárea.,"1,500"
¿Qué tipo de indicación representa el producto macrosómico para la realización de cesárea?,Indicación relativa.
¿Cuál es el antibiótico de elección para la profilaxis general en una cesárea?,Ampicilina.
¿Qué tipo de incisión uterina es la más frecuente y permite un parto vaginal subsecuente?,Segmentaria transversal tipo Kerr.
¿Cuál es la principal desventaja de la incisión uterina clásica o corporal?,No permite un parto vaginal subsecuente.
¿Qué antibiótico se puede agregar a las cefalosporinas si hay alto riesgo de endometritis post-cesárea?,Azitromicina.
¿Cuál es una estrategia clave para disminuir la frecuencia de cesáreas respecto al ingreso hospitalario?,Ingresar a la paciente únicamente en fase activa del trabajo de parto.
¿Qué maniobra para distocia de hombros consiste en la abducción de cadera e hiperflexión de piernas maternas?,Maniobra de McRoberts.
¿Cuál es la eficacia aproximada de la maniobra de McRoberts en la distocia de hombros?,90 %.
¿En qué consiste la maniobra de Robin II-Woods?,En interiorizar ambos hombros hacia el tórax del neonato.
¿Qué maniobra de último recurso para distocia de hombros implica la fractura de clavícula y reintroducción del feto?,Maniobra de Zavanelli.
¿En qué consiste la maniobra de Gaskin?,En colocar a la madre en posición de cuatro extremidades (pedio).
¿Qué plano de Hodge y dilatación se requieren para el uso de espátulas?,Dilatación completa y 4to plano de Hodge.
¿Qué tipo de fórceps está indicado específicamente para la presentación pélvica?,Fórceps de Piper.
¿Qué tipo de fórceps se utiliza cuando se requiere rotación cefálica?,Fórceps de Kielland.
¿Cuál es el requisito de plano de Hodge para la aplicación de ventosa (vacuoextractores)?,2do plano de Hodge.
¿Cuál es la incidencia aproximada del embarazo gemelar?,1-3 %.
"En el embarazo gemelar, ¿qué signo ecográfico indica un embarazo bicorial?",Signo de lambda (λ).
"En el embarazo gemelar, ¿qué signo ecográfico indica un embarazo monocorial?",Signo de la T.
Los gemelos _____ provienen de la fecundación de un solo óvulo y un espermatozoide.,monocigotos
¿Qué porcentaje de los embarazos gemelares son dicigotos?,75 %.
¿En qué semana se recomienda la interrupción de un embarazo gemelar monocorial no complicado?,Semana 36.
"Si el primer feto en un embarazo gemelar no está en presentación cefálica, la vía de nacimiento debe ser _____.",cesárea
¿Cuál es el tiempo límite para el nacimiento del segundo feto en un parto vaginal gemelar antes de indicar cesárea?,30 minutos.
¿En qué semanas se debe realizar la cesárea en un embarazo gemelar monoamniótico?,Semana 32-34.
¿Cuál es la complicación más frecuente en embarazos monocoriales debida a anastomosis vasculares?,Síndrome de transfusión feto-feto.
¿Qué características presenta el feto transfusor en el síndrome de transfusión feto-feto?,Anemia y oligohidramnios.
¿Qué características presenta el feto transfundido en el síndrome de transfusión feto-feto?,Policitemia e insuficiencia cardiaca de alto gasto.
¿Cuál es el tratamiento de elección para el síndrome de transfusión feto-feto?,Coagulación láser de las anastomosis vasculares.
Factor de riesgo para gemelaridad: la edad materna avanzada aumenta la secreción de la hormona _____.,FSH
¿Qué tipo de fórceps se utiliza para la presentación occipito-posterior?,Simpson o Tucker McLane.
¿Qué complicación materna es la más común en el embarazo múltiple según el texto?,Parto pretérmino.
¿Cuál es la principal complicación materna de la maniobra de McRoberts?,Hemorragia.
Toda paciente con indicación de inducción debe ser valorada mediante el _____.,Índice de Bishop
"En el índice de Bishop, una dilatación de 0 cm otorga un puntaje de _____.",0
"En el índice de Bishop, una altura de presentación de 0 corresponde a un puntaje de _____.",2
