¿Qué es la catarata?,La opacificación parcial o total del cristalino o su cápsula que disminuye la agudeza visual.
¿Cuál es la principal causa de ceguera en el mundo según el material?,"La catarata, representando entre el $41\% - 68\%$ de los casos."
¿Cuál es el factor de riesgo más frecuente para el desarrollo de cataratas?,El envejecimiento (catarata senil nuclear).
¿Cuál es la principal causa metabólica de formación de cataratas?,La diabetes mellitus.
¿A partir de qué edad se recomienda la detección de cataratas en pacientes sin factores de riesgo?,A partir de los 50 años.
"En la exploración de un paciente con catarata, el Gold Standard muestra una opacidad en el _____.",Reflejo rojo
¿Cuál es el tratamiento quirúrgico de elección para la catarata?,Facoemulsificación.
¿Cuál es la complicación más frecuente después de una cirugía de catarata?,Queratitis bullosa.
¿Cuál es la complicación más grave de la cirugía de catarata?,Endoftalmitis.
¿Qué estudio se utiliza para valorar el cálculo del lente intraocular ($LIO$)?,Ultrasonido ($USG$).
¿Cuál es la complicación más grave de la anestesia local retrobulbar en cirugía ocular?,Perforación ocular.
¿Qué define al glaucoma de ángulo abierto?,Neuropatía óptica con cambios estructurales de la papila y déficit funcional en campos visuales.
¿Cuál es el factor de riesgo más importante para el glaucoma?,El incremento de la presión intraocular ($PIO$).
¿Qué cifra de presión intraocular ($PIO$) se considera indicativa de glaucoma?,$>21$ mmHg.
"Factores de riesgo para glaucoma de ángulo abierto: Edad $>40$ años, sexo femenino, diabetes, migraña y _____.",Miopía
¿Cuál es el tratamiento de sostén de primera elección para el glaucoma de ángulo abierto?,Análogos de prostaglandinas (como latanoprost).
¿Qué procedimiento quirúrgico se utiliza para disminuir la presión intraocular en glaucoma?,Trabeculectomía.
¿Qué hallazgo anatómico caracteriza al glaucoma de ángulo cerrado?,Contacto iridotrabecular de al menos $180^{\circ}$.
¿Qué error refractivo se asocia frecuentemente al glaucoma de ángulo cerrado?,Hipermetropía.
¿Cuál es la medida inicial para romper el bloqueo angular en un ataque agudo de glaucoma?,Gonioscopía dinámica.
¿Cuál es el fármaco de primera elección en el tratamiento farmacológico del ataque agudo de glaucoma?,Acetazolamida (inhibidor de la anhidrasa carbónica).
¿En qué caso se indica el uso de manitol como tratamiento adjunto en glaucoma?,Cuando la presión intraocular es mayor a $50$ mmHg.
¿Cuál es la medida profiláctica recomendada para el ojo contralateral en glaucoma de ángulo cerrado?,Iridotomía con láser.
¿Con qué marcador genético se asocia frecuentemente la uveítis anterior?,HLA-B27.
¿Qué tríada clínica compone el síndrome ciliar en la uveítis anterior?,"Dolor, fotofobia y blefaroespasmo."
Fenómeno de Tyndall,"Presencia de células flotando en la cámara anterior del ojo, típico de la uveítis anterior."
¿Cuál es el tratamiento de la uveítis anterior?,Esteroides en gotas y midriáticos.
¿Cuál es la causa infecciosa más común asociada a la uveítis posterior?,Toxoplasmosis.
¿Qué hallazgo en el examen de fondo de ojo es característico de la uveítis posterior por toxoplasma?,Visión en faro de niebla con miodesopsias.
¿Cuál es el esquema de tratamiento para la uveítis por toxoplasma?,Sulfadiazina + Pirimetamina + esteroides.
¿Cuál es el motivo más frecuente de pérdida de visión en la retinopatía diabética?,El edema macular.
¿Qué comorbilidad sistémica es un fuerte predictor de la presencia de retinopatía diabética?,La enfermedad renal.
¿Cuándo debe realizarse el primer tamizaje de fondo de ojo en un paciente con DM1?,$3$ a $5$ años después del diagnóstico.
¿Cuándo debe realizarse el primer tamizaje de fondo de ojo en un paciente con DM2?,Al momento del diagnóstico.
¿Cuál es la meta de $HbA1c$ para reducir el riesgo de retinopatía diabética?,Menor a $6.5\%$.
¿Cuál es el signo oftalmológico más temprano y típico de la retinopatía diabética?,Los microaneurismas.
