¿En qué periodo de días después del nacimiento debe realizarse el tamiz metabólico neonatal?,Entre el tercer y quinto día de vida.
¿Cuántos días se debe esperar para realizar el tamiz si el recién nacido recibió una transfusión sanguínea?,Se deben esperar 14 días.
¿Cuál es la localización anatómica preferida para la toma de muestra del tamiz metabólico?,En el talón del recién nacido.
¿Cuál es el defecto más común causante de hipotiroidismo congénito primario?,"La disgenesia tiroidea, presente en el $85\%$ de los casos."
¿Cuál es la recomendación de la OMS para la ingesta diaria de yodo en mujeres embarazadas y en lactancia?,$200 \mu g/día$.
"Según la clasificación del hipotiroidismo congénito, ¿qué caracteriza a la ectopia tiroidea?","Es tejido funcional fuera de su sitio habitual, siendo la sublingual la más frecuente."
¿Cuál es la manifestación clínica más frecuente en el hipotiroidismo congénito?,La hernia umbilical.
¿Cuál es el segundo signo clínico más frecuente en el hipotiroidismo congénito?,La ictericia.
"En el diagnóstico de hipotiroidismo congénito, ¿qué estudio es considerado el estándar de oro para establecer la variedad anatómica?",El gamagrama con $I^{123}$ o Tecnecio $^{99}$.
¿Cuál es el rango de dosis inicial de levotiroxina para el tratamiento del hipotiroidismo congénito?,$10-15 \mu g/kg/día$.
¿Cuál es la meta de niveles de $TSH$ al primer mes de tratamiento en hipotiroidismo congénito?,Una $TSH$ menor a $5 mU/ml$.
"En el hipotiroidismo congénito, ¿qué hallazgo radiológico se conoce como el 'signo de rodilla vacía'?",La ausencia del centro de osificación de la epífisis distal femoral.
¿Cuál es la causa más común de retraso mental prevenible en el recién nacido?,El hipotiroidismo congénito.
¿Qué gen y en qué cromosoma se encuentra mutado en la fibrosis quística?,El gen $CFTR$ en el cromosoma $7$.
¿Cuál es el principal marcador detectado en el tamiz neonatal para la sospecha de fibrosis quística?,El tripsinógeno inmunoreactivo ($TIR$).
¿Qué valor de cloro en sudor se considera confirmatorio para el diagnóstico de fibrosis quística?,Un nivel mayor a $60 mmol/L$ en dos determinaciones.
¿Cuál es la principal causa de muerte en pacientes con fibrosis quística?,Las infecciones respiratorias.
¿Qué microorganismo se asocia frecuentemente a infecciones pulmonares de repetición en fibrosis quística?,$Pseudomonas$ $aeruginosa$.
¿Cuál es el tratamiento antibiótico de elección para infecciones por $Pseudomonas$ en fibrosis quística?,Ceftazidima más amikacina.
¿Cuál es la deficiencia enzimática más común en la hiperplasia suprarrenal congénita?,Deficiencia de la enzima $21-hidroxilasa$.
¿Qué sustrato se encuentra elevado en sangre y se utiliza para el tamiz de hiperplasia suprarrenal congénita?,La $17-hidroxiprogesterona$ ($17-OHP$).
¿Qué niveles de $17-hidroxiprogesterona$ confirman el diagnóstico de hiperplasia suprarrenal congénita?,Niveles mayores a $20 ng/mL$.
¿Cuáles son las dos formas clínicas principales de la hiperplasia suprarrenal congénita clásica?,La perdedora de sal ($67\%$) y la virilizante simple ($33\%$).
¿Qué desequilibrio electrolítico caracteriza a la forma perdedora de sal en la hiperplasia suprarrenal congénita?,Hiponatremia e hiperkalemia.
¿Qué fármaco se utiliza para el mantenimiento electrolítico en pacientes con hiperplasia suprarrenal congénita perdedora de sal?,Fludrocortisona.
¿Cuál es la deficiencia enzimática en la galactosemia clásica (Tipo 1)?,Deficiencia de galactosa-1-fosfatouridiltransferasa ($GALT$).
¿Cuál es el principal signo clínico observado en la galactosemia?,La ictericia.
¿Qué complicación ocular es característica de la galactosemia no tratada?,Cataratas.
¿Cuál es la contraindicación absoluta en la dieta de un recién nacido con galactosemia?,La lactancia materna.
¿Qué tipo de fórmula se debe utilizar en pacientes diagnosticados con galactosemia?,Fórmula con base en proteína aislada de soya.
¿Cuál es la deficiencia enzimática causal de la fenilcetonuria?,Deficiencia de la enzima fenilalanina hidroxilasa.
¿Qué olor característico presentan los pacientes con fenilcetonuria?,Olor a humedad (ratón o paja mojada).
¿Qué características fenotípicas de hipopigmentación se asocian a la fenilcetonuria?,Pelo rubio y ojos azules.
¿Qué metabolito se puede encontrar en la orina de pacientes con fenilcetonuria?,Fenilpiruvato.
¿Qué vitamina es la biotina?,Vitamina $B7$.
¿Cuál es el tratamiento farmacológico para la deficiencia de biotinidasa?,Biotina en dosis de $10 mg/día$.
¿Qué alimento debe evitarse en la deficiencia de biotinidasa por su alto nivel de avidina?,La clara de huevo cruda.
¿Cuál es el patrón de herencia de la enfermedad de Fabry?,Herencia ligada al cromosoma $X$.
¿Qué enzima se encuentra deficiente en la enfermedad de Fabry?,La enzima $\alpha$-galactosidasa A ($A-GAL$ $A$).
¿Cuáles son las lesiones cutáneas características de la enfermedad de Fabry?,Angioqueratomas (lesiones rojo-violáceas en región umbilical e ingle).
¿Cuál es la principal causa de muerte en pacientes con enfermedad de Fabry?,La insuficiencia renal.
¿En qué consiste el tratamiento específico para la enfermedad de Fabry?,Terapia de reemplazo enzimático con agalsidasa alfa o beta.
"En el tamiz de hipotiroidismo, ¿qué conducta se sigue si la $TSH$ se encuentra entre $10$ y $20 mU/l$?",Se debe repetir el tamiz neonatal.
¿Cuál es el objetivo de los niveles de $T4$ en el tratamiento del hipotiroidismo congénito?,Mantener la $T4$ en la mitad superior de lo normal.
¿Cuál es la dosis de levotiroxina recomendada para pacientes con atirosis?,$15 \mu g/kg/día$.
¿Qué fármacos de consumo materno son factores de riesgo para hipotiroidismo congénito?,"Amiodarona, fenitoína, litio y aspirina ($AAS$)."
¿Cuál es el principal factor pronóstico en un niño con hipotiroidismo congénito si el tratamiento inicia antes de los $28$ días?,La severidad de la enfermedad.
¿Cuánto tiempo mínimo debe transcurrir entre la administración de levotiroxina y el consumo de fibra o soya?,Como mínimo $2$ horas.
"En fibrosis quística, ¿qué estudio se debe solicitar si los niveles de $TIR$ están en rango dudoso ($40-60$)?",Análisis del gen $CFTR$.
¿A qué edad se debe iniciar la ablactación en pacientes con fenilcetonuria?,A los $6$ meses de edad.
Concepto: Acroparestesias en enfermedad de Fabry.,Definición: Dolor neuropático crónico en extremidades que empeora con el ejercicio o calor.
¿Qué hallazgo oftalmológico se detecta con lámpara de hendidura en la enfermedad de Fabry?,Opacidades corneales (cornea verticillata).
¿Cuál es el método de diagnóstico definitivo para galactosemia?,Medición de $GALT$ y $GALT-1P$ en plasma por reacción enzimática.
"En el hipotiroidismo, ¿qué caracteriza al hipotiroidismo secundario?",Una deficiencia a nivel hipofisario donde no se libera $TSH$.
¿Cuál es la causa más común de elevación de $TSH$ en pacientes ya diagnosticados y en tratamiento?,La no adherencia al tratamiento.
"¿Cuál es la incidencia de hipotiroidismo congénito por cada $10,000$ recién nacidos vivos?",$4.12$ casos.
¿Qué complicación gastrointestinal neonatal sugiere el diagnóstico de fibrosis quística?,Íleo meconial.
"La tríada de hiponatremia, hiperkalemia y deshidratación en un neonato con genitales ambiguos sugiere _____.",Hiperplasia suprarrenal congénita perdedora de sal.
