¿Cuál es el primer eslabón de la cadena de supervivencia intrahospitalaria?,Reconocimiento y prevención tempranos.
¿Cuál es el segundo eslabón de la cadena de supervivencia intrahospitalaria?,Activación de la respuesta a emergencias.
¿Cuál es el tercer eslabón de la cadena de supervivencia intrahospitalaria?,RCP de alta calidad.
¿Cuál es el cuarto eslabón de la cadena de supervivencia intrahospitalaria?,Desfibrilación.
¿Cuál es el quinto eslabón de la cadena de supervivencia intrahospitalaria?,Cuidados posparo cardíaco.
¿Cuál es el sexto eslabón de la cadena de supervivencia intrahospitalaria?,Recuperación.
¿Cuál es el primer eslabón de la cadena de supervivencia extrahospitalaria?,Activación de la respuesta a emergencias.
¿Cuál es el segundo eslabón de la cadena de supervivencia extrahospitalaria?,RCP de alta calidad.
¿Cuál es el tercer eslabón de la cadena de supervivencia extrahospitalaria?,Desfibrilación.
¿Cuál es el cuarto eslabón de la cadena de supervivencia extrahospitalaria?,Soporte vital avanzado.
¿Cuál es el quinto eslabón de la cadena de supervivencia extrahospitalaria?,Cuidados posparo cardíaco.
¿Cuál es el sexto eslabón de la cadena de supervivencia extrahospitalaria?,Recuperación.
"En el algoritmo BLS, ¿qué acción es prioritaria antes de acercarse a la víctima?",Verificar si la escena es segura.
"Si la víctima no responde tras el estímulo inicial, ¿qué debe hacer el reanimador de inmediato?",Pedir ayuda en voz alta.
Acción simultánea a la activación del sistema de emergencias en el algoritmo BLS:,Obtener un DEA y equipo para emergencias.
¿Cuál es el tiempo máximo permitido para comprobar la respiración y el pulso simultáneamente?,$10$ segundos o menos.
¿Cuál es la conducta a seguir si el paciente tiene pulso pero no respira?,Proporcionar ventilación de rescate.
¿Cuál es la frecuencia de la ventilación de rescate en un adulto con pulso?,$1$ ventilación cada $6$ segundos (o $10$ ventilaciones por minuto).
"En un paciente con ventilación de rescate, ¿cada cuánto tiempo se debe reevaluar el pulso?",Cada $2$ minutos.
Fármaco indicado en caso de sospecha de sobredosis por opioides durante la reanimación:,Naloxona.
¿Bajo qué condiciones específicas se deben iniciar ciclos de $30$ compresiones y $2$ ventilaciones?,Si la víctima no respira (o solo jadea/boquea) y no tiene pulso.
¿Cuál es la profundidad mínima recomendada para las compresiones torácicas en adultos?,Al menos $5\text{ cm}$.
