¿Cómo se define la menopausia fisiológica?,Ausencia de menstruación por más de 12 meses en personas de 40 años o más.
¿A qué edad se considera que el cese de la menstruación es una insuficiencia ovárica primaria?,En personas menores de 40 años.
¿Qué periodo comprende la posmenopausia temprana?,Los primeros 5 años después del último periodo menstrual.
¿Cuál es la definición de perimenopausia?,Desde el inicio de alteraciones en el ciclo menstrual hasta un año después de la última menstruación.
¿Qué es el síndrome climatérico?,Conjunto de signos y síntomas que se presentan durante la perimenopausia.
¿Cuál es la edad media de presentación de la menopausia en México?,49 a 50 años.
Menciona dos factores de riesgo no modificables para la patología de la menopausia.,Raza negra y padecimientos crónicos.
¿Cuál es la ingesta diaria recomendada de calcio para proteger la salud ósea en el climaterio?,1000 a 1200 mg/día.
¿Cuál es la dosis diaria recomendada de vitamina D en el periodo climatérico?,800 a 1000 UI/día.
¿A qué cambio hormonal se asocia el inicio de los síntomas climatéricos?,A una disminución de los niveles de estrógenos.
¿Por qué aumenta la FSH durante la transición a la menopausia?,"Por el descenso de la inhibina, lo que elimina la retroalimentación negativa."
¿Cuál es el nivel de FSH característico en la premenopausia según el diagnóstico hormonal?,Mayor a 25 UI/L.
¿Cuál es el principal estrógeno presente en la posmenopausia?,Estrona.
"En la posmenopausia, el nivel de FSH es mayor a 40 UI/L y el estradiol es menor a _____.",20 pg/mL
¿Qué escala se utiliza para clasificar las etapas reproductivas de la mujer?,Clasificación de STRAW.
¿Qué síntomas caracterizan a la atrofia urogenital en la posmenopausia?,"Dispareunia, sequedad vaginal y urgencia miccional."
¿Cuál es el porcentaje de densidad ósea que se puede perder a lo largo de la vida debido a la osteoporosis?,70%.
¿Qué estudios de gabinete e laboratorio integrales se deben realizar a pacientes en edad climatérica?,"Citología vaginal, perfil de lípidos, glucosa, TSH, densitometría, mastografía y USG pélvico."
¿Cuál es el objetivo principal del tratamiento de primera elección en el síndrome climatérico?,Reducir el 70% de los síntomas.
¿Cuál es la indicación para iniciar terapia hormonal en una paciente climatérica?,Afectación significativa en la calidad de vida.
¿Qué esquema hormonal se utiliza en pacientes con útero intacto en etapa de premenopausia?,Terapia secuencial combinada (estrógenos diarios + progestágenos 10-14 días).
¿Qué esquema hormonal se indica en pacientes con útero en etapa de posmenopausia?,Combinado continuo (estrógenos y progestágenos).
¿Qué terapia hormonal se prescribe a pacientes con síndrome climatérico que no tienen útero?,Terapia estrogénica simple o tibolona.
¿Qué vía de administración de terapia hormonal es preferible en pacientes con hipertensión arterial o riesgo de trombosis?,Parche transdérmico.
¿Qué fármacos se consideran de segunda línea si hay contraindicación para hormonas en el climaterio?,Inhibidores de la recaptura de serotonina y norepinefrina (como desvenlafaxina).
Menciona tres contraindicaciones absolutas para la terapia hormonal.,"Cáncer de mama, tromboembolismo venoso y enfermedad hepática activa."
¿Qué planta medicinal es un ejemplo de fitoterapia (cumestanos) para el climaterio?,Alfalfa.
¿Cómo se define la osteoporosis?,Disminución de masa ósea y deterioro de la microarquitectura con aumento de fragilidad y riesgo de fracturas.
¿Cuál es la causa de la osteoporosis primaria tipo I?,Deficiencia de estrógenos (postmenopáusica).
¿Qué caracteriza a la osteoporosis primaria tipo II?,Pérdida de masa cortical debida a la edad (senil).
¿Cuál es el valor de T-score para diagnosticar osteopenia?,Entre -1.0 y -2.5 desviaciones estándar.
¿A partir de qué valor de T-score se diagnostica osteoporosis?,Menor a -2.5 desviaciones estándar.
¿Qué compara el índice Z en una densitometría ósea?,La densidad de la paciente con adultos de su misma edad.
¿Cuáles son los sitios más frecuentes de fractura por fragilidad?,Columna (por compresión) y cadera.
¿Cuál es la fractura por fragilidad más grave en términos de morbimortalidad?,Fractura de cadera.
¿Por qué se debe evitar el consumo excesivo de cafeína en la prevención de osteoporosis?,Porque evita la absorción de calcio.
¿Qué es una fractura de bajo impacto?,"Aquella que ocurre tras una caída de la propia altura o menor, o sin traumatismo evidente."
¿Cuál es la conducta a seguir en una paciente mayor de 65 años sin antecedentes de fractura?,Realizar densitometría ósea directamente.
¿Qué herramienta estima el riesgo de fracturas osteoporóticas a 10 años basándose en factores clínicos?,Índice FRAX.
¿Cuál es el fármaco de elección para el tratamiento de osteoporosis con riesgo bajo o moderado?,Bifosfonatos vía oral (como alendronato o risedronato).
¿Qué medicamento se indica en osteoporosis si hay intolerancia a bifosfonatos orales?,Ácido zoledrónico intravenoso.
¿Qué fármaco es una opción para osteoporosis en pacientes con riesgo de cáncer de mama?,Raloxifeno.
¿Qué anticuerpo monoclonal puede usarse para la osteoporosis en pacientes con insuficiencia renal?,Denosumab.
