¿Cuál es la cuarta causa de muerte a nivel mundial según el material proporcionado?,La Enfermedad Pulmonar Obstructiva Crónica (EPOC).
¿Qué hallazgo es el más frecuente durante la exploración física de un paciente con EPOC?,Las sibilancias espiratorias.
¿Cuál es el principal factor de riesgo para el desarrollo de EPOC?,El tabaquismo.
"En pacientes menores de 45 años con EPOC, ¿qué deficiencia enzimática se debe investigar?",Deficiencia de $\alpha$-1 antitripsina.
Concepto: Enfisema Pulmonar,"Destrucción y ensanchamiento alveolar sin fibrosis, caracterizado por el fenotipo de ""rosado soplador""."
Concepto: Bronquitis Crónica,"Presencia de tos productiva por al menos 3 meses durante 2 años consecutivos, con fenotipo ""azul abotagado""."
¿Qué hallazgo radiológico en el corazón es característico del enfisema?,Corazón disminuido de tamaño (en gota).
¿Qué alteración histológica pulmonar es característica de la bronquitis crónica?,Hiperplasia de células caliciformes.
¿Cómo se define la limitación del flujo aéreo en la espirometría confirmatoria para EPOC?,Relación $FEV_1/FVC < 0.7$ postbroncodilatador.
Fórmula: Índice Tabáquico,($\text{Cigarrillos al día} \times \text{Años fumando}$) / 20.
¿A partir de qué valor de índice tabáquico se considera riesgo alto para patología pulmonar?,Mayor a 41.
¿Cuál es el síntoma más importante y frecuente de la EPOC?,La disnea de esfuerzo progresiva.
Mencione los componentes de la tríada cardinal de la EPOC.,"Disnea de esfuerzo, tos y producción de esputo."
¿Qué grado de severidad GOLD corresponde a un $FEV_1$ postbroncodilatador de entre $50\%$ y $79\%$?,GOLD 2 (Moderado).
¿Qué grado de severidad GOLD se asigna a un paciente con $FEV_1 < 30\%$?,GOLD 4 (Muy severo).
¿Qué escala se utiliza específicamente para predecir hospitalizaciones y exacerbaciones mediante la disnea?,La escala mMRC (Modified Medical Research Council).
¿Qué herramienta mide el impacto de la EPOC en la calidad de vida y sus cambios en el tiempo?,El Test CAT (COPD Assessment Test).
¿Cuál es la utilidad principal del índice BODEx?,Determinar el pronóstico y el riesgo de muerte en el paciente con EPOC.
Mencione tres hallazgos típicos en la radiografía de tórax de un paciente con EPOC.,"Hiperinsuflación, aplanamiento del diafragma e hiperlucidez pulmonar."
¿Cuál es el tratamiento inicial indicado para un paciente con EPOC Grupo A?,Un broncodilatador (puede ser de acción corta o larga).
¿Cuál es el tratamiento de elección para pacientes con EPOC Grupo B?,Broncodilatadores de acción larga (LAMA o LABA).
¿En qué condición se debe agregar un glucocorticoide inhalado al tratamiento del Grupo C o D?,Cuando el conteo de eosinófilos es mayor o igual a 300 células/$\mu$L.
Ejemplo de fármaco: LAMA,Tiotropio.
Ejemplo de fármacos: LABA,Salmeterol o Formoterol.
¿A partir de qué saturación de oxígeno ($SatO_2$) se indica oxigenoterapia domiciliaria?,Saturación menor al $88\%$.
