¿De qué estructura embrionaria derivan los neuroblastomas?,De la cresta neural.
¿Cuál es el tumor sólido maligno más frecuente durante la infancia?,El neuroblastoma.
¿En qué sitio anatómico se originan con mayor frecuencia los neuroblastomas?,En la médula adrenal.
Mencione los tres genes principales asociados al desarrollo del neuroblastoma.,"ALK, PHOX2B y GEN N-MYC."
¿Qué porcentaje de los neuroblastomas abdominales cruza la línea media?,El $70\%$.
¿Cuál es el hallazgo patognomónico en la histología de un neuroblastoma?,Pseudorosetas de Homer Wright.
¿Qué sustancia es responsable de la diarrea secretora en los síndromes neoplásicos del neuroblastoma?,El Péptido Intestinal Vasoactivo (PIV).
¿En qué consiste el Síndrome de Pepper asociado al neuroblastoma?,Compromiso masivo del hígado en la enfermedad metastásica.
¿Cuál es la tríada clínica característica del síndrome opsoclonus-mioclonus?,"Ataxia, sacudidas mioclónicas e hipertensión arterial."
"En el diagnóstico inicial de neuroblastoma, ¿cuál es la característica radiológica típica de la masa abdominal?",Masa abdominal calcificada.
¿Cuál es el tumor renal más frecuente en la población pediátrica?,El nefroblastoma (Tumor de Wilms).
¿Cuál es el rango de edad en el que se presenta la máxima incidencia del tumor de Wilms?,Entre los dos y cuatro años de edad.
¿A qué alteración cromosómica se asocia frecuentemente el nefroblastoma?,Mutaciones del cromosoma 11p.
¿Qué característica diferencia clínicamente la masa del tumor de Wilms de la del neuroblastoma?,La masa del tumor de Wilms no cruza la línea media.
¿Cuál es el sitio más frecuente de metástasis en el nefroblastoma?,El pulmón.
Mencione los tres componentes histológicos que conforman el nefroblastoma.,"Epitelio, blastema y estroma."
¿Qué hallazgo ocular no ocular puede asociarse específicamente al tumor de Wilms?,Aniridia.
¿Cuál es la piedra angular del tratamiento para el nefroblastoma?,Resección quirúrgica (Nefroureterectomía).
¿Cuál es la neoplasia maligna del sistema nervioso central más frecuente en la infancia después de los tumores embrionarios?,El astrocitoma.
¿Qué hallazgo histológico es característico del astrocitoma pilocítico juvenil?,Fibras de Rosenthal.
¿Qué diferencia existe en la captación de contraste por resonancia magnética entre el astrocitoma pilocítico y el fibrilar de bajo grado?,El pilocítico capta contraste y el fibrilar no.
Mencione dos enfermedades hereditarias asociadas al desarrollo de astrocitomas.,Síndrome de Li-Fraumeni y Neurofibromatosis.
¿Cuál es el fármaco quimioterapéutico estándar para los tumores del sistema nervioso central según el material?,Temozolomida.
¿Cuál es el tipo de hipersensibilidad implicado en la dermatitis atópica?,Tipo I (mediada por IgE).
¿Qué mutación genética se asocia a la alteración de la barrera cutánea en la dermatitis atópica?,Mutación del gen de la proteína filagrina.
"En lactantes, ¿cuál es la localización típica de las lesiones por dermatitis atópica?",En la cara (respetando el triángulo nasogeniano) y superficies extensoras.
¿Cuál es la localización característica de la dermatitis atópica durante la infancia (niños mayores)?,Pliegues flexores (antecubital y poplíteo).
¿Qué síntoma es indispensable para el diagnóstico de dermatitis atópica?,Prurito.
¿Cuál es el nombre de los criterios diagnósticos confirmatorios para la dermatitis atópica?,Criterios de Hanifin y Rajka.
¿Cuál es el tratamiento de elección (primera línea farmacológica) para los brotes de dermatitis atópica?,Esteroides tópicos (Hidrocortisona o Fluocinolona).
Mencione un inhibidor de la calcineurina utilizado como segunda línea en dermatitis atópica.,Tacrolimus.
¿Qué microorganismo es el principal responsable de la impetiginización en pacientes con dermatitis atópica?,Staphylococcus aureus.
¿Cómo se define la hipersensibilidad de Tipo 3?,Formación de inmunocomplejos (Ag-Ac) que precipitan en tejidos.
¿Cuál es el agente causal de la dermatitis seborreica relacionado con la inflamación cutánea?,Malassezia furfur (o Candida).
¿Cuál es el tratamiento tópico de elección para la dermatitis seborreica?,Ketoconazol al $2\%$ (gel o crema).
"En la dermatitis del pañal, ¿cuál es el factor de riesgo más importante para la alteración del estrato córneo?",La sobrehidratación del área.
¿Cuál es la complicación infecciosa más frecuente de la dermatitis del pañal?,Candidosis (infección por Candida).
¿Qué patrón morfológico y topográfico caracteriza a la dermatitis del pañal?,Disposición en W.
¿Cuál es el agente etiológico del molusco contagioso?,Molluscipoxvirus (Poxvirus).
Mencione la característica clínica distintiva de las pápulas en el molusco contagioso.,Son pápulas umbilicadas.
¿Qué hallazgo histopatológico es considerado el estándar de oro para el diagnóstico de molusco contagioso?,Cuerpos de Henderson-Petterson.
¿Cuál es el tratamiento de primera línea para el molusco contagioso?,Imiquimod.
¿Qué toxina de Staphylococcus aureus es responsable del Síndrome de Piel Escaldada?,Toxina estafilocócica exfoliativa (ETA o ETB).
"¿Qué signo clínico, caracterizado por el desprendimiento de la epidermis al tocar la piel, es positivo en el Síndrome de Ritter?",Signo de Nikolsky.
¿Cuál es el tratamiento antibiótico de elección para el Síndrome de Shock Tóxico estafilocócico?,Dicloxacilina (o Vancomicina en caso de resistencia) más Clindamicina.
¿Qué característica dermatológica en palmas y plantas es común en el Síndrome de Shock Tóxico?,Exantema maculopapular difuso con afectación palmoplantar.
"En el manejo de la dermatitis atópica, ¿qué intervención se considera la piedra angular para restaurar la barrera cutánea?",El uso de emolientes.
El Síndrome de Shock Tóxico estreptocócico es causado principalmente por qué microorganismo?,Streptococcus pyogenes (Grupo A).
¿A partir de qué edad se recomienda iniciar la ablactación para prevenir atopias según el material?,A partir de los 6 meses de edad.
¿Qué tipo de inmunidad caracteriza a la hipersensibilidad de Tipo 4?,Inmunidad celular (mediada por células T).
¿Cuál es la supervivencia del neuroblastoma después del diagnóstico?,Superior al $90\%$.
¿Qué estudio de imagen es la prueba de elección para el diagnóstico de astrocitomas?,Resonancia Magnética (RM).
"En la dermatitis seborreica, ¿cómo se le denomina comúnmente a las placas amarillentas y oleosas en el cuero cabelludo?",Costra de lácteo.
¿Qué medicamento se utiliza para tratar la dermatitis refractaria según las complicaciones mencionadas?,Ciclosporina.
¿Cuál es el periodo de incubación típico del molusco contagioso?,De 2 a 8 semanas.
