¿Cuál es la definición de onfalocele?,Es un defecto congénito con eventración de vísceras cubiertas por amnios y peritoneo.
¿Cuál es la definición de gastrosquisis?,Es un defecto en la línea paraumbilical derecha sin saco protector de las vísceras.
¿Qué cromosopatías presentan una alta asociación con el onfalocele?,"Trisomías $13$, $18$ y $21$."
"En el onfalocele, ¿cuándo se considera que la presencia de hígado es indicación de cesárea?",Cuando el defecto es mayor a $5$ cm.
¿Qué síndrome genético se asocia frecuentemente con el onfalocele?,Síndrome de Beckwith-Wiedemann.
¿Cuál es la incidencia estimada de la gastrosquisis?,"$1$ de cada $2,000$ recién nacidos."
¿Qué porcentaje de pacientes con gastrosquisis presenta prematurez asociada?,Entre el $50\%$ y el $60\%$.
¿Qué parámetro es necesario medir en pacientes con defectos de pared abdominal para evitar un síndrome compartimental?,La presión intraabdominal.
¿Qué hallazgo por ultrasonido prenatal antes de la semana $25$ sugiere un defecto de pared abdominal?,Polihidramnios y ausencia de burbuja gástrica intraabdominal.
¿Cuál es el manejo preoperatorio específico para cubrir el defecto en una gastrosquisis?,"Cubrir con material estéril y transparente, como una bolsa de polietileno."
¿Cuál es el tratamiento quirúrgico de elección para una gastrosquisis?,Colocación de un silo.
¿Qué técnica quirúrgica se utiliza en un onfalocele con defecto roto?,Cierre por etapas con silo (Técnica de Schuster).
¿Cuál es la fisiopatología principal de la hernia diafragmática congénita?,Hipoplasia pulmonar secundaria a la herniación del contenido abdominal al tórax.
¿Cuál es la localización más frecuente de la hernia de Bochdalek?,Posterior y del lado izquierdo ($95\%$ de los casos).
¿Cuál es la localización característica de la hernia de Morgagni?,Anterior y derecha ($5\%$ de los casos).
¿Qué hallazgos se esperan en la exploración física de un neonato con hernia de Bochdalek?,"Abdomen en batea, ruidos intestinales en tórax y ausencia de murmullo vesicular."
¿A qué se debe el origen embriológico de la hernia de Bochdalek?,Falta de cierre del canal pleuroperitoneal en la semana $8$.
¿Cuál es el estudio confirmatorio para el diagnóstico de hernia diafragmática?,Radiografía de tórax.
¿Cuál es el manejo inicial inmediato de un recién nacido con hernia diafragmática?,Intubación y colocación de sonda nasogástrica.
¿Cuál es el tipo de atresia esofágica más frecuente?,Tipo III (Atresia proximal y fístula distal).
¿Cuál es la tríada clínica clásica de la atresia esofágica en el neonato?,"Sialorrea, imposibilidad para pasar sonda nasogástrica y cianosis/atragantamiento en tomas."
"En la atresia esofágica, ¿qué hallazgo en la radiografía confirma el diagnóstico?",Sonda enrollada en el esófago o ausencia de cámara gástrica.
¿Cuál es el Estándar de Oro para diagnosticar atresia esofágica?,Radiografía abdominal con contraste hidrosoluble.
¿Por qué se contraindica la intubación en el manejo inicial de la atresia esofágica?,Por el riesgo de perforación gástrica debido al flujo de aire al estómago por la fístula.
¿Cuál es la complicación postquirúrgica más frecuente tras la reparación de una atresia esofágica?,Reflujo gastroesofágico.
¿Qué tipo de atresia esofágica se asocia con neumonías recurrentes?,Tipo V (Fístula sin atresia).
¿Cuál es la característica clínica cardinal de la atresia de coanas?,Cianosis que desaparece cuando el recién nacido llora.
¿Cuál es el estudio de elección para el diagnóstico de atresia de coanas?,TAC simple.
¿Qué componentes integran el síndrome de CHARGE?,"Coloboma, Heart (cardiopatía), Atresia de coanas, Retraso del crecimiento, Genitourinarias y Ear (sordera)."
¿Cuál es la localización más frecuente de la atresia intestinal congénita?,Duodenal (específicamente la $2^{a}$ o $3^{a}$ porción).
¿Qué signo radiográfico es característico de la atresia duodenal?,"Signo de la ""doble burbuja""."
¿Qué signo radiográfico se observa en la atresia pilórica?,Burbuja gástrica única.
¿Cuál es el tratamiento quirúrgico de elección para la atresia duodenal?,Anastomosis duodeno-duodenal lateral (Técnica de Kimura).
"Si un neonato presenta vómito claro y sin bilis, ¿cuál es el sitio probable de la obstrucción?",Esófago o estómago.
Un vómito de color verde en un recién nacido sugiere una obstrucción a nivel de _____.,Yeyuno o íleon.
"¿Qué patología se asocia con el hallazgo radiográfico de ""vidrio esmerilado"" o pequeñas burbujas?",Íleo meconial.
¿Cuál es la deficiencia enzimática en la Mucopolisacaridosis $1$ (Síndrome de Hurler)?,Deficiencia de alfa-L-iduronidasa.
¿Cuáles son las características clínicas faciales de un paciente con Síndrome de Hurler?,Fascies toscas y macrocefalia con protuberancia.
¿Cuál es el estudio confirmatorio para el diagnóstico de Mucopolisacaridosis $1$?,Estudio molecular.
¿A qué se debe el $75\%$ de los casos de espina bífida?,A una deficiencia importante de ácido fólico durante la gestación.
¿En qué días de la gestación ocurre normalmente el cierre del tubo neural?,Cefálico a los $38$ días y caudal a los $40$ días.
¿Qué fármaco consumido durante el embarazo es el principal factor de riesgo para defectos del tubo neural?,Ácido valproico.
¿Cuál es la diferencia clínica entre meningocele y mielomeningocele?,"El meningocele no contiene tejido neuronal, mientras que el mielomeningocele sí."
¿Qué signo ultrasonográfico prenatal indica espina bífida entre las semanas $13$ y $24$?,Signo del limón.
¿Cuál es el tiempo ideal para realizar la cirugía definitiva en un paciente con espina bífida abierta?,Entre $48$ y $72$ horas tras el nacimiento.
¿Cuál es la manifestación clínica de la persistencia del uraco?,Presencia de orina o líquido ácido en la cicatriz umbilical.
¿Cuál es la complicación maligna más frecuente de la persistencia del uraco?,Degeneración a adenocarcinoma.
¿Cuál es el tratamiento de elección para el remanente uracal?,Exéresis completa del remanente más tratamiento antibiótico.
¿Qué porcentaje de malformaciones anorrectales se asocia con anomalías urinarias?,$67\%$ de los casos.
¿Cuál es el tratamiento quirúrgico de elección para las malformaciones anorrectales?,Anoplastía.
¿Cuál es la sospecha clínica inicial ante cualquier recién nacido con vómito bilioso?,Malrotación intestinal.
¿Qué hallazgo en la serie esófago-gastroduodenal es diagnóstico de malrotación intestinal?,Imagen en sacacorchos.
¿En qué consiste el tratamiento quirúrgico de la malrotación intestinal?,Operación de Ladd (distorsión del vólvulo) más ampliación del mesenterio.
¿Cuál es el patrón de herencia del Síndrome de Peutz-Jeghers?,Autosómica dominante.
¿Qué mutaciones genéticas condicionan el Síndrome de Peutz-Jeghers?,Mutaciones en los genes LKB1 y STK11.
¿Cuáles son las dos características clínicas principales del Síndrome de Peutz-Jeghers?,Pólipos hamartomatosos en el tubo digestivo y lesiones cutáneas hiperpigmentadas.
¿Cuál es el tratamiento para los pólipos en el Síndrome de Peutz-Jeghers?,Polipectomía endoscópica.
¿Cuál es la causa embriológica del labio y paladar hendido?,Falta de migración del mesodermo del proceso nasomedial con los procesos nasolateral y maxilar.
¿A qué edad se recomienda realizar la queiloplastía en pacientes con labio hendido?,Después de los $3$ meses de edad.
¿A qué edad se recomienda realizar la palatoplastía?,A los $18$ meses de edad.
Concepto: Atresia Tipo I de esófago.,"Definición: Atresia esofágica sin fístula, presente en el $8\%$ de los casos."
"En el diagnóstico de onfalocele, ¿qué significa la ausencia de burbuja gástrica?",Sugiere que el estómago está desplazado fuera de la cavidad abdominal.
¿Cuál es el manejo inicial de un granuloma umbilical con secreción mucopurulenta?,Descartar un granuloma inguinal.
