¿Cuál es el principal proceso fisiopatológico que define a las quemaduras?,Deshidratación súbita del tejido con desnaturalización proteica y destrucción celular.
¿Cuál es la principal causa de muerte inmediata en un paciente con quemaduras?,Choque hipovolémico.
¿Cuáles son las causas predominantes de muerte en las complicaciones tardías de una quemadura?,Problemas respiratorios o sobreinfecciones.
¿Qué porcentaje de las quemaduras son de origen térmico?,$90\%$.
¿Cuál es el grupo de edad más afectado por las quemaduras térmicas?,Menores de 5 años.
¿Cuál es el mecanismo específico que constituye la principal causa de quemaduras térmicas?,Escaldaduras.
¿En qué lugares específicos del hogar ocurren el $67\%$ de las quemaduras?,Cocina y baño.
"Dentro del manejo inicial, ¿cuál es el primer paso obligatorio?",Detener el proceso de la quemadura.
¿Qué acción se debe evitar con la ropa adherida a la piel durante el manejo inicial?,Arrancar la ropa adherida.
¿Cuál es la medida inmediata para evitar la hipotermia una vez detenida la quemadura?,Cubrir al paciente con cobertores limpios.
¿Qué porcentaje de superficie corporal quemada es una indicación directa para intubación?,Mayor al $40\%$.
Mencione dos signos físicos de obstrucción de la vía aérea que indican intubación en el quemado.,Estridor y uso de músculos accesorios.
¿En qué caso se debe descartar específicamente una lesión de la vía aérea inferior?,Inhalación de líquidos calientes o gases inflamables.
¿Cuál es el criterio de hospitalización por SCQ en pacientes menores de 10 años con quemaduras de segundo grado?,Más del $10\%$ de superficie corporal.
¿Cuál es el criterio de hospitalización por SCQ en adultos de 18 a 49 años con quemaduras de segundo grado?,Más del $20\%$ de superficie corporal.
Mencione tres localizaciones anatómicas donde una quemadura grave siempre requiere hospitalización.,"Genitales, periné y articulaciones."
¿Qué grado de quemadura se caracteriza típicamente por ser causada por el sol?,Primer grado.
¿Cuál es el nombre de la escala utilizada para clasificar los grados de las quemaduras?,Escala de Smith.
¿Hasta qué nivel anatómico de la piel llega una quemadura de segundo grado superficial?,Dermis papilar.
Las quemaduras de segundo grado superficial suelen ser causadas por escaldadura por _____.,Salpicadura o derrame.
¿Cómo se comporta el llenado capilar a la presión en una quemadura de segundo grado superficial?,Blanquea con la presión.
¿Hasta qué profundidad llega una quemadura de segundo grado profundo?,Dermis reticular.
¿Por qué las quemaduras de segundo grado profundo se consideran indoloras?,Por la destrucción de las terminaciones nerviosas.
¿Qué aspecto clínico caracteriza a una quemadura de tercer grado?,"Aspecto gris o negro carbonizado, seco y sin elasticidad."
¿Qué regla se utiliza para calcular la superficie corporal quemada en pacientes mayores de 15 años?,Regla de los 9 de Wallace.
¿Qué esquema se prefiere para cuantificar la superficie corporal quemada en pediatría?,Esquema de Lund and Browder.
¿Cuál es la fórmula de Parkland para la reanimación hídrica?,$2-4\text{ ml} \times \text{superficie corporal quemada} \times \text{kg de peso}$.
¿Qué solución cristaloide es la de elección según la fórmula de Parkland?,Ringer Lactato.
¿Cómo se distribuye la administración de líquidos en las primeras 24 horas según Parkland?,El $50\%$ en las primeras 8 horas y el resto en las siguientes 16 horas.
¿Cuál es el tiempo recomendado de irrigación con agua para quemaduras químicas?,30 minutos.
¿Cuál es la meta de uresis horaria en un paciente adulto quemado?,$0.5\text{ ml/kg/hora}$.
¿Cuál es la meta de uresis horaria en un paciente pediátrico quemado?,$1\text{ ml/kg/hora}$.
¿Por qué se prefieren los antibióticos tópicos sobre los sistémicos en quemaduras profundas?,Los sistémicos tienen poca efectividad debido a la pérdida de vascularidad en la zona.
¿Qué agente tópico es el estándar de oro mencionado para el cuidado de la quemadura?,Sulfadiazina de plata.
¿Qué medida de inmunización es obligatoria en todo paciente quemado?,Inmunización contra el tétanos.
¿Cuál es el puntaje en el Índice de Gravedad necesario para clasificar a un paciente como 'Gran Quemado'?,Mayor a 70 puntos.
¿A partir de qué porcentaje de SCQ de tipo AB o B se considera 'Gran Quemado' a un paciente de 40 años?,Más del $20\%$.
¿Qué tipo de quemadura eléctrica clasifica automáticamente al paciente como 'Gran Quemado'?,Quemadura eléctrica por alta tensión.
¿Qué nombre recibe también la quemadura por frío?,Frostbite.
¿Cuál es el mecanismo de daño tisular en el Frostbite?,Formación de cristales de hielo intracelulares con oclusión microvascular.
¿Qué grado de Frostbite presenta hiperemia y edema sin evidencia de necrosis cutánea?,Primer grado.
¿Qué hallazgo clínico distingue al Frostbite de tercer grado?,Formación de vesículas hemorrágicas con necrosis de espesor completo.
¿Qué estructuras están involucradas en el Frostbite de cuarto grado además de la piel?,Músculo y hueso.
¿Qué término describe la lesión por inmersión al frío sin congelación?,Pie de trinchera.
¿Cuál es el rango de temperatura ambiental que produce el pie de trinchera?,$1.6 ^\circ\text{C}$ a $10 ^\circ\text{C}$ ($35 ^\circ\text{F}$ a $50 ^\circ\text{F}$).
¿A qué temperatura se debe aplicar el agua para el recalentamiento en lesiones por frío?,$40 ^\circ\text{C}$.
¿Qué complicación electrolítica se debe vigilar durante el recalentamiento por riesgo de síndrome de reperfusión?,Hipercalemia.
¿Qué temperatura corporal central define el golpe de calor según los criterios de Bouchama?,$\ge 40 ^\circ\text{C}$ ($104 ^\circ\text{F}$).
Mencione dos manifestaciones de compromiso del SNC en el golpe de calor.,Desorientación y convulsiones (o coma).
¿Cuál es la alteración eléctrica más frecuente en el electrocardiograma por hipertermia?,Prolongación del intervalo $QT$.
¿Qué tipo de golpe de calor ocurre típicamente en ancianos durante olas de calor sin actividad física?,Golpe de calor clásico.
¿Qué distingue al agotamiento por calor del golpe de calor respecto a la función mental?,En el agotamiento por calor la función mental está esencialmente intacta.
¿Cuál es el objetivo de temperatura central al iniciar el tratamiento del golpe de calor?,Disminuir la temperatura a menos de $39 ^\circ\text{C}$.
¿Cuál es el método de enfriamiento preferido para atletas jóvenes con golpe de calor?,Inmersión en agua helada.
¿A qué se debe la rabdomiólisis en pacientes con quemaduras eléctricas?,A que las lesiones internas son más graves de lo que aparentan superficialmente.
"En el agotamiento por calor, ¿cuál es la temperatura central habitual?",Generalmente menor de $39 ^\circ\text{C}$ ($102.2 ^\circ\text{F}$).
