¿Qué agentes etiológicos causan la fiebre adeno-faringo-conjuntival?,"Los adenovirus serotipos $3$, $4$ y $7$."
¿Qué serotipos de adenovirus están asociados con la queratoconjuntivitis viral?,Los serotipos del $8$ al $19$.
¿Cuál es el tipo de secreción característica en una conjuntivitis de origen viral?,Secreción acuosa o hialina.
¿Cuál es el manejo inicial recomendado para la conjuntivitis viral?,Fomentos fríos e hipromelosa.
¿Qué fármacos están contraindicados de forma general en el tratamiento de la conjuntivitis viral?,Antibióticos y esteroides.
¿Cuáles son los cuatro agentes bacterianos más frecuentes en la conjuntivitis infecciosa?,"$S. aureus$, $S. epidermidis$, $S. pneumoniae$ y $H. influenzae$."
¿Qué tipo de secreción define a la conjuntivitis bacteriana?,Secreción mucopurulenta.
¿Cuál es el síntoma característico al despertar en pacientes con conjuntivitis bacteriana?,Formación de lagañas que dificulta despegar los párpados.
¿Cuál es el tratamiento de primera elección para la conjuntivitis bacteriana y su posología?,Cloranfenicol cada $6$ horas durante $6$ días.
¿Qué tipo de hipersensibilidad inmunológica media la conjuntivitis alérgica?,Hipersensibilidad tipo I mediada por $IgE$.
"En la conjuntivitis alérgica, ¿qué fármaco se utiliza como estabilizador de mastocitos para el manejo crónico?",Cromoglicato de sodio.
¿Cuál es la característica clínica distintiva de la conjuntivitis vernal en la conjuntiva tarsal?,Papilas con aspecto de empedrado.
¿Qué agente etiológico y qué serotipos causan el tracoma?,"$Chlamydia trachomatis$ serotipos $A$, $B$ y $C$."
¿Cuál es la principal causa de ceguera infecciosa a nivel mundial?,El tracoma.
¿En qué estado de la República Mexicana el tracoma se mantiene como una enfermedad endémica?,Chiapas.
¿Cuál es el vector biológico asociado a la transmisión del tracoma?,La mosca $Musca sorbens$.
¿Qué porcentaje de prevalencia de tracoma activo en niños justifica el tratamiento masivo a toda la comunidad?,Una prevalencia mayor al $10\%$.
¿Cuál es el tratamiento de elección para un adulto con tracoma?,Azitromicina en dosis única de $1$ g.
¿Cuál es el tratamiento de elección para el tracoma en mujeres embarazadas o menores de $6$ meses?,Ungüento de tetraciclina al $1\%$ dos veces al día por $6$ semanas.
¿Qué componentes integran la estrategia SAFE de la OMS para el control del tracoma?,"Cirugía para triquiasis, antibióticos, limpieza facial y mejora del ambiente."
"Según la clasificación de la OMS, ¿qué define al Tracoma Folicular (TF)?","Presencia de al menos cinco folículos de un tamaño mínimo de $0,5$ mm."
"En la clasificación del tracoma, ¿cuándo se considera que existe Tracoma Intenso (TI)?",Cuando el engrosamiento inflamatorio obscurece más de la mitad de los vasos conjuntivales profundos.
¿Qué hallazgo clínico define al Tracoma con Triquiasis (TT)?,Al menos una pestaña hace contacto con la córnea.
¿Cuál es el tiempo de incapacidad recomendado para un paciente con tracoma que presenta úlcera corneal?,Dos semanas.
¿Qué es una pingüécula?,Un crecimiento amarillento y elevado en la conjuntiva que no invade la córnea.
¿En qué lado de la conjuntiva se localiza usualmente la pingüécula?,En el lado nasal.
¿Qué proceso degenerativo subyace a la formación de la pingüécula?,Degeneración de fibras elásticas subconjuntivales con depósito de sustancia hialina amorfa.
¿Qué característica morfológica distingue al pterigión de la pingüécula?,El pterigión tiene forma triangular e invade la córnea.
¿Cuál es el principal factor desencadenante ambiental para la aparición del pterigión?,Exposición a radiación ultravioleta ($UV$) de $240$ a $400$ nm.
¿Qué nombre reciben las pequeñas opacidades en la membrana de Bowman que indican actividad en un pterigión?,Islas de Fuchs.
"En caso de actividad inflamatoria en el pterigión, ¿cuál es el esquema inicial de prednisolona?",Una gota cada $6$-$8$ horas durante una semana.
¿Qué fármaco coadyuvante se utiliza durante la resección quirúrgica del pterigión para evitar recurrencias?,Mitomicina.
¿Cuántos días de incapacidad se otorgan tras el tratamiento quirúrgico de un pterigión?,$28$ días.
¿Cuáles son los agentes bacterianos más frecuentemente involucrados en la queratitis infecciosa?,"$S. aureus$, $S. pneumoniae$ y $Pseudomonas$."
¿Qué hallazgos clínicos componen la presentación clásica de la queratitis bacteriana?,Hipopión e hiperemia periquerática.
¿Cuál es el tratamiento farmacológico de elección para la queratitis bacteriana?,Colirios de vancomicina y ceftazidima.
¿Qué porcentaje de los casos de queratitis herpética son causados por el virus herpes simple tipo 1 ($VHS-1$)?,El $95\%$ de los casos.
¿Cuál es el hallazgo patognomónico de la queratitis herpética al utilizar tinción de fluoresceína?,Úlcera dendrítica o arborescente.
¿Qué fármaco tópico es el pilar del tratamiento en la queratitis herpética?,Aciclovir tópico.
¿Qué grupo poblacional se ve afectado con mayor frecuencia por la epiescleritis?,Mujeres entre $30$ y $40$ años de edad.
¿Cómo se comporta el ojo rojo de la epiescleritis ante la instilación de fenilefrina?,El ojo rojo aclara con la fenilefrina.
¿Cuál es la diferencia clínica en la agudeza visual entre la epiescleritis y la escleritis?,"La epiescleritis no suele afectar la visión, mientras que la escleritis disminuye la agudeza visual."
¿Qué signo ecográfico es característico de la escleritis posterior?,El signo de la T.
¿Cuál es el síntoma principal que distingue a la abrasión corneal del trauma conjuntival?,Dolor intenso que se agrava con el movimiento del párpado.
¿Cómo se realiza el diagnóstico confirmatorio de una abrasión corneal?,Tiñendo con fluoresceína y observando con luz azul de cobalto.
¿Cuál es el manejo para una lesión corneal menor a $10$ mm?,Lente de contacto blando y ciprofloxacino en gotas $4$ veces al día.
¿Qué tratamiento antibiótico tópico en ungüento se recomienda para abrasiones corneales?,Cloranfenicol ungüento cada $6$ horas por $5$ días.
¿Qué hallazgos sugieren una ruptura escleral tras un trauma ocular?,"Hipotonía ocular, hifema, hemorragia vítrea y limitación de movimientos oculares."
