¿Cuál es el rango de referencia normal del Volumen Corpuscular Medio ($\text{VCM}$)?,$80-100$ $\text{fL}$.
¿Cuál es el valor normal de la Concentración Media de Hemoglobina Corpuscular ($\text{CMHC}$)?,$33-35$ $\text{g/dL}$.
¿Cuál es el rango normal de reticulocitos en una biometría hemática convencional?,$2-3$ $\%$.
¿Cómo se define la anemia hemolítica en función de la producción de reticulocitos?,Es una anemia regenerativa con reticulocitos elevados.
¿Qué otro nombre recibe la esferocitosis hereditaria?,Enfermedad de Minkowski-Chauffard.
¿Cuál es la proteína del citoesqueleto del eritrocito que se pierde con mayor frecuencia en la esferocitosis hereditaria?,Anquirina.
Mencione las tres proteínas (además de la anquirina) que pueden estar defectuosas en la esferocitosis hereditaria.,"$\alpha$ y $\beta$ espectrina, banda 3 y palidina."
¿Cuál es el patrón de herencia más común en la esferocitosis hereditaria?,Autosómico dominante.
¿Cuál es la anemia hemolítica hereditaria más común en México?,Esferocitosis hereditaria.
¿Qué valor de la Concentración Media de Hemoglobina Corpuscular ($\text{CMHC}$) sugiere esferocitosis hereditaria?,Un valor mayor a $36$ $\text{g/dL}$.
¿Cuál es el estudio de laboratorio estándar de oro ($\text{Gold Standard}$) para el diagnóstico de esferocitosis hereditaria?,Prueba de fragilidad osmótica.
¿Cómo se encuentra típicamente el resultado de la prueba de Coombs en un paciente con esferocitosis hereditaria?,Coombs directo negativo.
¿Cuál es el tratamiento farmacológico indicado durante las exacerbaciones de esferocitosis hereditaria con reticulocitosis muy elevada?,Prednisona.
¿A qué edad se recomienda realizar la esplenectomía en pacientes con esferocitosis hereditaria moderada o grave?,A los $6$ años.
¿Contra qué microorganismos encapsulados se debe vacunar obligatoriamente a un paciente antes de una esplenectomía?,"Neumococo, Meningococo y $H. \text{ influenzae}$."
¿Qué complicación biliar es frecuente en pacientes con esferocitosis hereditaria debido a la hemólisis crónica?,Litiasis vesicular (litos pigmentados).
¿Cuál es el patrón de herencia de la deficiencia de glucosa-6-fosfato deshidrogenasa ($\text{G6PD}$)?,Herencia ligada al cromosoma $X$.
¿Cuál es el mecanismo fisiopatológico principal de la hemólisis en la deficiencia de $\text{G6PD}$?,Disminución de glutatión reducido para proteger al eritrocito de agentes oxidantes.
¿Qué alimento desencadena clásicamente las crisis hemolíticas en la deficiencia de $\text{G6PD}$?,Habas (favismo).
Mencione tres fármacos que pueden precipitar una crisis hemolítica en un paciente con deficiencia de $\text{G6PD}$.,"Nitrofurantoína, sulfas y primaquina."
¿Qué hallazgos característicos se observan en el frotis de sangre periférica durante una crisis de deficiencia de $\text{G6PD}$?,Cuerpos de Heinz y células mordidas.
¿Cuál es el tratamiento principal para la deficiencia de $\text{G6PD}$?,Evitar la ingesta de alimentos (habas) y fármacos precipitantes.
¿Qué tipo de defecto estructural de la hemoglobina caracteriza a las talasemias?,Defecto cuantitativo en la síntesis de las cadenas de globina.
¿En qué cromosoma se localiza el defecto genético de la $\alpha$-talasemia?,Cromosoma $16$.
